"TVK","GRIDREF"
"NBNSYS0000005626","TQ94"
"NBNSYS0000005626","TQ93"
"NBNSYS0000005626","TQ92"
"NBNSYS0000005626","TQ91"
"NBNSYS0000005626","TQ89"
"NBNSYS0000005626","TQ88"
"NBNSYS0000005626","TQ87"
"NBNSYS0000005626","TQ86"
"NBNSYS0000005626","TQ85"
"NBNSYS0000005626","TQ84"
"NBNSYS0000005626","TQ83"
"NBNSYS0000005626","TQ82"
"NBNSYS0000005626","TQ81"
"NBNSYS0000005626","TQ79"
"NBNSYS0000005626","TQ78"
"NBNSYS0000005626","TQ77"
"NBNSYS0000005626","TQ76"
"NBNSYS0000005626","TQ75"
"NBNSYS0000005626","TQ74"
"NBNSYS0000005626","TQ73"
"NBNSYS0000005626","TQ72"
"NBNSYS0000005626","TQ71"
"NBNSYS0000005626","TQ70"
"NBNSYS0000005626","TQ69"
"NBNSYS0000005626","TQ68"
"NBNSYS0000005626","TQ67"
"NBNSYS0000005626","TQ66"
"NBNSYS0000005626","TQ65"
"NBNSYS0000005626","TQ64"
"NBNSYS0000005626","TQ63"
"NBNSYS0000005626","TQ62"
"NBNSYS0000005626","TQ61"
"NBNSYS0000005626","TQ60"
"NBNSYS0000005626","TQ59"
"NBNSYS0000005626","TQ58"
"NBNSYS0000005626","TQ57"
"NBNSYS0000005626","TQ56"
"NBNSYS0000005626","TQ55"
"NBNSYS0000005626","TQ54"
"NBNSYS0000005626","TQ53"
"NBNSYS0000005626","TQ52"
"NBNSYS0000005626","TQ51"
"NBNSYS0000005626","TQ50"
"NBNSYS0000005626","TQ49"
"NBNSYS0000005626","TQ48"
"NBNSYS0000005626","TQ47"
"NBNSYS0000005626","TQ46"
"NBNSYS0000005626","TQ45"
"NBNSYS0000005626","TQ44"
"NBNSYS0000005626","TQ43"
"NBNSYS0000005626","TQ42"
"NBNSYS0000005626","TQ41"
"NBNSYS0000005626","TQ40"
"NBNSYS0000005626","TQ39"
"NBNSYS0000005626","TQ38"
"NBNSYS0000005626","TQ37"
"NBNSYS0000005626","TQ36"
"NBNSYS0000005626","TQ35"
"NBNSYS0000005626","TQ34"
"NBNSYS0000005626","TQ33"
"NBNSYS0000005626","TQ32"
"NBNSYS0000005626","TQ31"
"NBNSYS0000005626","TQ30"
"NBNSYS0000005626","TQ29"
"NBNSYS0000005626","TQ28"
"NBNSYS0000005626","TQ27"
"NBNSYS0000005626","TQ26"
"NBNSYS0000005626","TQ25"
"NBNSYS0000005626","TQ24"
"NBNSYS0000005626","TQ23"
"NBNSYS0000005626","TQ22"
"NBNSYS0000005626","TQ21"
"NBNSYS0000005626","TQ20"
"NBNSYS0000005626","TQ19"
"NBNSYS0000005626","TQ18"
"NBNSYS0000005626","TQ17"
"NBNSYS0000005626","TQ16"
"NBNSYS0000005626","TQ15"
"NBNSYS0000005626","TQ14"
"NBNSYS0000005626","TQ13"
"NBNSYS0000005626","TQ12"
"NBNSYS0000005626","TQ11"
"NBNSYS0000005626","TQ10"
"NBNSYS0000005626","TQ09"
"NBNSYS0000005626","TQ08"
"NBNSYS0000005626","TQ07"
"NBNSYS0000005626","TQ06"
"NBNSYS0000005626","TQ05"
"NBNSYS0000005626","TQ04"
"NBNSYS0000005626","TQ03"
"NBNSYS0000005626","TQ02"
"NBNSYS0000005626","TQ01"
"NBNSYS0000005626","TQ00"
"NBNSYS0000005626","TM59"
"NBNSYS0000005626","TM58"
"NBNSYS0000005626","TM57"
"NBNSYS0000005626","TM49"
"NBNSYS0000005626","TM48"
"NBNSYS0000005626","TM47"
"NBNSYS0000005626","TM46"
"NBNSYS0000005626","TM45"
"NBNSYS0000005626","TM44"
"NBNSYS0000005626","TM39"
"NBNSYS0000005626","TM38"
"NBNSYS0000005626","TM37"
"NBNSYS0000005626","TM36"
"NBNSYS0000005626","TM35"
"NBNSYS0000005626","TM34"
"NBNSYS0000005626","TM33"
"NBNSYS0000005626","TM29"
"NBNSYS0000005626","TM28"
"NBNSYS0000005626","TM27"
"NBNSYS0000005626","TM26"
"NBNSYS0000005626","TM25"
"NBNSYS0000005626","TM24"
"NBNSYS0000005626","TM23"
"NBNSYS0000005626","TM19"
"NBNSYS0000005626","TM18"
"NBNSYS0000005626","TM17"
"NBNSYS0000005626","TM16"
"NBNSYS0000005626","TM15"
"NBNSYS0000005626","TM14"
"NBNSYS0000005626","TM13"
"NBNSYS0000005626","TM11"
"NBNSYS0000005626","TM09"
"NBNSYS0000005626","TM08"
"NBNSYS0000005626","TM07"
"NBNSYS0000005626","TM06"
"NBNSYS0000005626","TM05"
"NBNSYS0000005626","TM04"
"NBNSYS0000005626","TM03"
"NBNSYS0000005626","TM02"
"NBNSYS0000005626","TM01"
"NBNSYS0000005626","TL99"
"NBNSYS0000005626","TL98"
"NBNSYS0000005626","TL97"
"NBNSYS0000005626","TL96"
"NBNSYS0000005626","TL95"
"NBNSYS0000005626","TL94"
"NBNSYS0000005626","TL93"
"NBNSYS0000005626","TL92"
"NBNSYS0000005626","TL91"
"NBNSYS0000005626","TL90"
"NBNSYS0000005626","TL89"
"NBNSYS0000005626","TL88"
"NBNSYS0000005626","TL87"
"NBNSYS0000005626","TL86"
"NBNSYS0000005626","TL85"
"NBNSYS0000005626","TL84"
"NBNSYS0000005626","TL83"
"NBNSYS0000005626","TL82"
"NBNSYS0000005626","TL81"
"NBNSYS0000005626","TL80"
"NBNSYS0000005626","TL79"
"NBNSYS0000005626","TL78"
"NBNSYS0000005626","TL77"
"NBNSYS0000005626","TL76"
"NBNSYS0000005626","TL75"
"NBNSYS0000005626","TL74"
"NBNSYS0000005626","TL72"
"NBNSYS0000005626","TL71"
"NBNSYS0000005626","TL70"
"NBNSYS0000005626","TL69"
"NBNSYS0000005626","TL68"
"NBNSYS0000005626","TL67"
"NBNSYS0000005626","TL66"
"NBNSYS0000005626","TL65"
"NBNSYS0000005626","TL64"
"NBNSYS0000005626","TL63"
"NBNSYS0000005626","TL62"
"NBNSYS0000005626","TL61"
"NBNSYS0000005626","TL59"
"NBNSYS0000005626","TL58"
"NBNSYS0000005626","TL57"
"NBNSYS0000005626","TL56"
"NBNSYS0000005626","TL55"
"NBNSYS0000005626","TL54"
"NBNSYS0000005626","TL51"
"NBNSYS0000005626","TL49"
"NBNSYS0000005626","TL48"
"NBNSYS0000005626","TL47"
"NBNSYS0000005626","TL46"
"NBNSYS0000005626","TL45"
"NBNSYS0000005626","TL44"
"NBNSYS0000005626","TL43"
"NBNSYS0000005626","TL42"
"NBNSYS0000005626","TL41"
"NBNSYS0000005626","TL40"
"NBNSYS0000005626","TL38"
"NBNSYS0000005626","TL37"
"NBNSYS0000005626","TL36"
"NBNSYS0000005626","TL35"
"NBNSYS0000005626","TL34"
"NBNSYS0000005626","TL33"
"NBNSYS0000005626","TL32"
"NBNSYS0000005626","TL31"
"NBNSYS0000005626","TL30"
"NBNSYS0000005626","TL29"
"NBNSYS0000005626","TL28"
"NBNSYS0000005626","TL27"
"NBNSYS0000005626","TL26"
"NBNSYS0000005626","TL25"
"NBNSYS0000005626","TL24"
"NBNSYS0000005626","TL23"
"NBNSYS0000005626","TL22"
"NBNSYS0000005626","TL21"
"NBNSYS0000005626","TL20"
"NBNSYS0000005626","TL19"
"NBNSYS0000005626","TL18"
"NBNSYS0000005626","TL17"
"NBNSYS0000005626","TL16"
"NBNSYS0000005626","TL15"
"NBNSYS0000005626","TL14"
"NBNSYS0000005626","TL13"
"NBNSYS0000005626","TL12"
"NBNSYS0000005626","TL11"
"NBNSYS0000005626","TL10"
"NBNSYS0000005626","TL09"
"NBNSYS0000005626","TL08"
"NBNSYS0000005626","TL07"
"NBNSYS0000005626","TL06"
"NBNSYS0000005626","TL05"
"NBNSYS0000005626","TL04"
"NBNSYS0000005626","TL03"
"NBNSYS0000005626","TL02"
"NBNSYS0000005626","TL01"
"NBNSYS0000005626","TL00"
"NBNSYS0000005626","TG50"
"NBNSYS0000005626","TG42"
"NBNSYS0000005626","TG41"
"NBNSYS0000005626","TG40"
"NBNSYS0000005626","TG33"
"NBNSYS0000005626","TG32"
"NBNSYS0000005626","TG31"
"NBNSYS0000005626","TG30"
"NBNSYS0000005626","TG24"
"NBNSYS0000005626","TG23"
"NBNSYS0000005626","TG22"
"NBNSYS0000005626","TG21"
"NBNSYS0000005626","TG20"
"NBNSYS0000005626","TG14"
"NBNSYS0000005626","TG13"
"NBNSYS0000005626","TG12"
"NBNSYS0000005626","TG11"
"NBNSYS0000005626","TG10"
"NBNSYS0000005626","TG04"
"NBNSYS0000005626","TG03"
"NBNSYS0000005626","TG02"
"NBNSYS0000005626","TG01"
"NBNSYS0000005626","TG00"
"NBNSYS0000005626","TF94"
"NBNSYS0000005626","TF93"
"NBNSYS0000005626","TF92"
"NBNSYS0000005626","TF91"
"NBNSYS0000005626","TF90"
"NBNSYS0000005626","TF84"
"NBNSYS0000005626","TF83"
"NBNSYS0000005626","TF82"
"NBNSYS0000005626","TF81"
"NBNSYS0000005626","TF80"
"NBNSYS0000005626","TF74"
"NBNSYS0000005626","TF73"
"NBNSYS0000005626","TF72"
"NBNSYS0000005626","TF71"
"NBNSYS0000005626","TF70"
"NBNSYS0000005626","TF64"
"NBNSYS0000005626","TF63"
"NBNSYS0000005626","TF62"
"NBNSYS0000005626","TF61"
"NBNSYS0000005626","TF60"
"NBNSYS0000005626","TF55"
"NBNSYS0000005626","TF52"
"NBNSYS0000005626","TF50"
"NBNSYS0000005626","TF49"
"NBNSYS0000005626","TF48"
"NBNSYS0000005626","TF45"
"NBNSYS0000005626","TF40"
"NBNSYS0000005626","TF39"
"NBNSYS0000005626","TF38"
"NBNSYS0000005626","TF34"
"NBNSYS0000005626","TF33"
"NBNSYS0000005626","TF30"
"NBNSYS0000005626","TF26"
"NBNSYS0000005626","TF25"
"NBNSYS0000005626","TF24"
"NBNSYS0000005626","TF21"
"NBNSYS0000005626","TF20"
"NBNSYS0000005626","TF18"
"NBNSYS0000005626","TF17"
"NBNSYS0000005626","TF16"
"NBNSYS0000005626","TF15"
"NBNSYS0000005626","TF12"
"NBNSYS0000005626","TF11"
"NBNSYS0000005626","TF10"
"NBNSYS0000005626","TF07"
"NBNSYS0000005626","TF06"
"NBNSYS0000005626","TF02"
"NBNSYS0000005626","TF01"
"NBNSYS0000005626","TF00"
"NBNSYS0000005626","TA41"
"NBNSYS0000005626","TA32"
"NBNSYS0000005626","TA31"
"NBNSYS0000005626","TA27"
"NBNSYS0000005626","TA26"
"NBNSYS0000005626","TA18"
"NBNSYS0000005626","TA17"
"NBNSYS0000005626","TA16"
"NBNSYS0000005626","TA14"
"NBNSYS0000005626","TA13"
"NBNSYS0000005626","TA12"
"NBNSYS0000005626","TA11"
"NBNSYS0000005626","TA09"
"NBNSYS0000005626","TA08"
"NBNSYS0000005626","TA06"
"NBNSYS0000005626","TA05"
"NBNSYS0000005626","TA04"
"NBNSYS0000005626","TA03"
"NBNSYS0000005626","TA02"
"NBNSYS0000005626","TA01"
"NBNSYS0000005626","TA00"
"NBNSYS0000005626","SZ99"
"NBNSYS0000005626","SZ89"
"NBNSYS0000005626","SZ79"
"NBNSYS0000005626","SZ69"
"NBNSYS0000005626","SZ68"
"NBNSYS0000005626","SZ59"
"NBNSYS0000005626","SZ58"
"NBNSYS0000005626","SZ57"
"NBNSYS0000005626","SZ49"
"NBNSYS0000005626","SZ48"
"NBNSYS0000005626","SZ47"
"NBNSYS0000005626","SZ39"
"NBNSYS0000005626","SZ38"
"NBNSYS0000005626","SZ29"
"NBNSYS0000005626","SZ19"
"NBNSYS0000005626","SZ09"
"NBNSYS0000005626","SZ08"
"NBNSYS0000005626","SZ07"
"NBNSYS0000005626","SY99"
"NBNSYS0000005626","SY98"
"NBNSYS0000005626","SY97"
"NBNSYS0000005626","SY89"
"NBNSYS0000005626","SY88"
"NBNSYS0000005626","SY79"
"NBNSYS0000005626","SY78"
"NBNSYS0000005626","SY69"
"NBNSYS0000005626","SY68"
"NBNSYS0000005626","SY67"
"NBNSYS0000005626","SY59"
"NBNSYS0000005626","SY58"
"NBNSYS0000005626","SY49"
"NBNSYS0000005626","SY39"
"NBNSYS0000005626","SY29"
"NBNSYS0000005626","SY19"
"NBNSYS0000005626","SY18"
"NBNSYS0000005626","SY09"
"NBNSYS0000005626","SY08"
"NBNSYS0000005626","SX99"
"NBNSYS0000005626","SX98"
"NBNSYS0000005626","SX97"
"NBNSYS0000005626","SX95"
"NBNSYS0000005626","SX89"
"NBNSYS0000005626","SX88"
"NBNSYS0000005626","SX87"
"NBNSYS0000005626","SX86"
"NBNSYS0000005626","SX85"
"NBNSYS0000005626","SX84"
"NBNSYS0000005626","SX83"
"NBNSYS0000005626","SX79"
"NBNSYS0000005626","SX78"
"NBNSYS0000005626","SX77"
"NBNSYS0000005626","SX76"
"NBNSYS0000005626","SX75"
"NBNSYS0000005626","SX74"
"NBNSYS0000005626","SX73"
"NBNSYS0000005626","SX69"
"NBNSYS0000005626","SX68"
"NBNSYS0000005626","SX67"
"NBNSYS0000005626","SX65"
"NBNSYS0000005626","SX64"
"NBNSYS0000005626","SX59"
"NBNSYS0000005626","SX58"
"NBNSYS0000005626","SX56"
"NBNSYS0000005626","SX55"
"NBNSYS0000005626","SX54"
"NBNSYS0000005626","SX49"
"NBNSYS0000005626","SX47"
"NBNSYS0000005626","SX46"
"NBNSYS0000005626","SX45"
"NBNSYS0000005626","SX44"
"NBNSYS0000005626","SX39"
"NBNSYS0000005626","SX38"
"NBNSYS0000005626","SX37"
"NBNSYS0000005626","SX36"
"NBNSYS0000005626","SX35"
"NBNSYS0000005626","SX29"
"NBNSYS0000005626","SX27"
"NBNSYS0000005626","SX26"
"NBNSYS0000005626","SX25"
"NBNSYS0000005626","SX19"
"NBNSYS0000005626","SX18"
"NBNSYS0000005626","SX16"
"NBNSYS0000005626","SX15"
"NBNSYS0000005626","SX08"
"NBNSYS0000005626","SX07"
"NBNSYS0000005626","SX06"
"NBNSYS0000005626","SX05"
"NBNSYS0000005626","SX04"
"NBNSYS0000005626","SW97"
"NBNSYS0000005626","SW96"
"NBNSYS0000005626","SW95"
"NBNSYS0000005626","SW94"
"NBNSYS0000005626","SW86"
"NBNSYS0000005626","SW85"
"NBNSYS0000005626","SW84"
"NBNSYS0000005626","SW83"
"NBNSYS0000005626","SW75"
"NBNSYS0000005626","SW74"
"NBNSYS0000005626","SW73"
"NBNSYS0000005626","SW72"
"NBNSYS0000005626","SW71"
"NBNSYS0000005626","SW64"
"NBNSYS0000005626","SW63"
"NBNSYS0000005626","SW62"
"NBNSYS0000005626","SW61"
"NBNSYS0000005626","SW53"
"NBNSYS0000005626","SW43"
"NBNSYS0000005626","SW42"
"NBNSYS0000005626","SW32"
"NBNSYS0000005626","SU99"
"NBNSYS0000005626","SU98"
"NBNSYS0000005626","SU97"
"NBNSYS0000005626","SU96"
"NBNSYS0000005626","SU95"
"NBNSYS0000005626","SU94"
"NBNSYS0000005626","SU93"
"NBNSYS0000005626","SU92"
"NBNSYS0000005626","SU91"
"NBNSYS0000005626","SU90"
"NBNSYS0000005626","SU89"
"NBNSYS0000005626","SU88"
"NBNSYS0000005626","SU87"
"NBNSYS0000005626","SU86"
"NBNSYS0000005626","SU85"
"NBNSYS0000005626","SU84"
"NBNSYS0000005626","SU83"
"NBNSYS0000005626","SU82"
"NBNSYS0000005626","SU80"
"NBNSYS0000005626","SU79"
"NBNSYS0000005626","SU78"
"NBNSYS0000005626","SU77"
"NBNSYS0000005626","SU76"
"NBNSYS0000005626","SU75"
"NBNSYS0000005626","SU74"
"NBNSYS0000005626","SU73"
"NBNSYS0000005626","SU72"
"NBNSYS0000005626","SU71"
"NBNSYS0000005626","SU70"
"NBNSYS0000005626","SU69"
"NBNSYS0000005626","SU68"
"NBNSYS0000005626","SU67"
"NBNSYS0000005626","SU66"
"NBNSYS0000005626","SU65"
"NBNSYS0000005626","SU63"
"NBNSYS0000005626","SU62"
"NBNSYS0000005626","SU61"
"NBNSYS0000005626","SU60"
"NBNSYS0000005626","SU59"
"NBNSYS0000005626","SU58"
"NBNSYS0000005626","SU57"
"NBNSYS0000005626","SU56"
"NBNSYS0000005626","SU54"
"NBNSYS0000005626","SU53"
"NBNSYS0000005626","SU52"
"NBNSYS0000005626","SU51"
"NBNSYS0000005626","SU50"
"NBNSYS0000005626","SU49"
"NBNSYS0000005626","SU48"
"NBNSYS0000005626","SU47"
"NBNSYS0000005626","SU46"
"NBNSYS0000005626","SU44"
"NBNSYS0000005626","SU43"
"NBNSYS0000005626","SU42"
"NBNSYS0000005626","SU41"
"NBNSYS0000005626","SU40"
"NBNSYS0000005626","SU39"
"NBNSYS0000005626","SU38"
"NBNSYS0000005626","SU37"
"NBNSYS0000005626","SU36"
"NBNSYS0000005626","SU35"
"NBNSYS0000005626","SU34"
"NBNSYS0000005626","SU33"
"NBNSYS0000005626","SU32"
"NBNSYS0000005626","SU31"
"NBNSYS0000005626","SU30"
"NBNSYS0000005626","SU29"
"NBNSYS0000005626","SU28"
"NBNSYS0000005626","SU27"
"NBNSYS0000005626","SU26"
"NBNSYS0000005626","SU24"
"NBNSYS0000005626","SU23"
"NBNSYS0000005626","SU22"
"NBNSYS0000005626","SU21"
"NBNSYS0000005626","SU20"
"NBNSYS0000005626","SU19"
"NBNSYS0000005626","SU18"
"NBNSYS0000005626","SU17"
"NBNSYS0000005626","SU16"
"NBNSYS0000005626","SU15"
"NBNSYS0000005626","SU13"
"NBNSYS0000005626","SU12"
"NBNSYS0000005626","SU11"
"NBNSYS0000005626","SU10"
"NBNSYS0000005626","SU09"
"NBNSYS0000005626","SU08"
"NBNSYS0000005626","SU07"
"NBNSYS0000005626","SU06"
"NBNSYS0000005626","SU05"
"NBNSYS0000005626","SU04"
"NBNSYS0000005626","SU03"
"NBNSYS0000005626","SU02"
"NBNSYS0000005626","SU01"
"NBNSYS0000005626","SU00"
"NBNSYS0000005626","ST99"
"NBNSYS0000005626","ST98"
"NBNSYS0000005626","ST97"
"NBNSYS0000005626","ST96"
"NBNSYS0000005626","ST95"
"NBNSYS0000005626","ST94"
"NBNSYS0000005626","ST92"
"NBNSYS0000005626","ST90"
"NBNSYS0000005626","ST89"
"NBNSYS0000005626","ST87"
"NBNSYS0000005626","ST86"
"NBNSYS0000005626","ST85"
"NBNSYS0000005626","ST84"
"NBNSYS0000005626","ST82"
"NBNSYS0000005626","ST81"
"NBNSYS0000005626","ST80"
"NBNSYS0000005626","ST79"
"NBNSYS0000005626","ST78"
"NBNSYS0000005626","ST77"
"NBNSYS0000005626","ST76"
"NBNSYS0000005626","ST75"
"NBNSYS0000005626","ST74"
"NBNSYS0000005626","ST73"
"NBNSYS0000005626","ST72"
"NBNSYS0000005626","ST71"
"NBNSYS0000005626","ST70"
"NBNSYS0000005626","ST69"
"NBNSYS0000005626","ST68"
"NBNSYS0000005626","ST67"
"NBNSYS0000005626","ST66"
"NBNSYS0000005626","ST65"
"NBNSYS0000005626","ST64"
"NBNSYS0000005626","ST63"
"NBNSYS0000005626","ST61"
"NBNSYS0000005626","ST60"
"NBNSYS0000005626","ST59"
"NBNSYS0000005626","ST58"
"NBNSYS0000005626","ST57"
"NBNSYS0000005626","ST56"
"NBNSYS0000005626","ST55"
"NBNSYS0000005626","ST54"
"NBNSYS0000005626","ST53"
"NBNSYS0000005626","ST52"
"NBNSYS0000005626","ST51"
"NBNSYS0000005626","ST50"
"NBNSYS0000005626","ST49"
"NBNSYS0000005626","ST48"
"NBNSYS0000005626","ST47"
"NBNSYS0000005626","ST46"
"NBNSYS0000005626","ST45"
"NBNSYS0000005626","ST44"
"NBNSYS0000005626","ST43"
"NBNSYS0000005626","ST42"
"NBNSYS0000005626","ST41"
"NBNSYS0000005626","ST40"
"NBNSYS0000005626","ST39"
"NBNSYS0000005626","ST38"
"NBNSYS0000005626","ST36"
"NBNSYS0000005626","ST35"
"NBNSYS0000005626","ST34"
"NBNSYS0000005626","ST33"
"NBNSYS0000005626","ST32"
"NBNSYS0000005626","ST31"
"NBNSYS0000005626","ST30"
"NBNSYS0000005626","ST29"
"NBNSYS0000005626","ST28"
"NBNSYS0000005626","ST25"
"NBNSYS0000005626","ST24"
"NBNSYS0000005626","ST22"
"NBNSYS0000005626","ST21"
"NBNSYS0000005626","ST20"
"NBNSYS0000005626","ST19"
"NBNSYS0000005626","ST18"
"NBNSYS0000005626","ST17"
"NBNSYS0000005626","ST16"
"NBNSYS0000005626","ST14"
"NBNSYS0000005626","ST13"
"NBNSYS0000005626","ST12"
"NBNSYS0000005626","ST11"
"NBNSYS0000005626","ST10"
"NBNSYS0000005626","ST09"
"NBNSYS0000005626","ST08"
"NBNSYS0000005626","ST07"
"NBNSYS0000005626","ST06"
"NBNSYS0000005626","ST04"
"NBNSYS0000005626","ST03"
"NBNSYS0000005626","ST02"
"NBNSYS0000005626","ST01"
"NBNSYS0000005626","SS99"
"NBNSYS0000005626","SS98"
"NBNSYS0000005626","SS97"
"NBNSYS0000005626","SS96"
"NBNSYS0000005626","SS94"
"NBNSYS0000005626","SS93"
"NBNSYS0000005626","SS92"
"NBNSYS0000005626","SS91"
"NBNSYS0000005626","SS90"
"NBNSYS0000005626","SS89"
"NBNSYS0000005626","SS88"
"NBNSYS0000005626","SS87"
"NBNSYS0000005626","SS84"
"NBNSYS0000005626","SS83"
"NBNSYS0000005626","SS82"
"NBNSYS0000005626","SS81"
"NBNSYS0000005626","SS80"
"NBNSYS0000005626","SS79"
"NBNSYS0000005626","SS78"
"NBNSYS0000005626","SS74"
"NBNSYS0000005626","SS73"
"NBNSYS0000005626","SS72"
"NBNSYS0000005626","SS71"
"NBNSYS0000005626","SS69"
"NBNSYS0000005626","SS64"
"NBNSYS0000005626","SS63"
"NBNSYS0000005626","SS62"
"NBNSYS0000005626","SS60"
"NBNSYS0000005626","SS59"
"NBNSYS0000005626","SS58"
"NBNSYS0000005626","SS54"
"NBNSYS0000005626","SS53"
"NBNSYS0000005626","SS52"
"NBNSYS0000005626","SS51"
"NBNSYS0000005626","SS50"
"NBNSYS0000005626","SS49"
"NBNSYS0000005626","SS48"
"NBNSYS0000005626","SS44"
"NBNSYS0000005626","SS43"
"NBNSYS0000005626","SS42"
"NBNSYS0000005626","SS41"
"NBNSYS0000005626","SS40"
"NBNSYS0000005626","SS31"
"NBNSYS0000005626","SS30"
"NBNSYS0000005626","SS22"
"NBNSYS0000005626","SS21"
"NBNSYS0000005626","SS20"
"NBNSYS0000005626","SR99"
"NBNSYS0000005626","SR89"
"NBNSYS0000005626","SP99"
"NBNSYS0000005626","SP98"
"NBNSYS0000005626","SP97"
"NBNSYS0000005626","SP96"
"NBNSYS0000005626","SP95"
"NBNSYS0000005626","SP94"
"NBNSYS0000005626","SP93"
"NBNSYS0000005626","SP92"
"NBNSYS0000005626","SP91"
"NBNSYS0000005626","SP90"
"NBNSYS0000005626","SP89"
"NBNSYS0000005626","SP88"
"NBNSYS0000005626","SP87"
"NBNSYS0000005626","SP86"
"NBNSYS0000005626","SP85"
"NBNSYS0000005626","SP84"
"NBNSYS0000005626","SP83"
"NBNSYS0000005626","SP82"
"NBNSYS0000005626","SP81"
"NBNSYS0000005626","SP80"
"NBNSYS0000005626","SP79"
"NBNSYS0000005626","SP78"
"NBNSYS0000005626","SP77"
"NBNSYS0000005626","SP76"
"NBNSYS0000005626","SP75"
"NBNSYS0000005626","SP74"
"NBNSYS0000005626","SP73"
"NBNSYS0000005626","SP72"
"NBNSYS0000005626","SP71"
"NBNSYS0000005626","SP70"
"NBNSYS0000005626","SP69"
"NBNSYS0000005626","SP68"
"NBNSYS0000005626","SP67"
"NBNSYS0000005626","SP66"
"NBNSYS0000005626","SP65"
"NBNSYS0000005626","SP64"
"NBNSYS0000005626","SP63"
"NBNSYS0000005626","SP62"
"NBNSYS0000005626","SP61"
"NBNSYS0000005626","SP60"
"NBNSYS0000005626","SP59"
"NBNSYS0000005626","SP58"
"NBNSYS0000005626","SP57"
"NBNSYS0000005626","SP56"
"NBNSYS0000005626","SP55"
"NBNSYS0000005626","SP54"
"NBNSYS0000005626","SP53"
"NBNSYS0000005626","SP52"
"NBNSYS0000005626","SP51"
"NBNSYS0000005626","SP50"
"NBNSYS0000005626","SP49"
"NBNSYS0000005626","SP48"
"NBNSYS0000005626","SP47"
"NBNSYS0000005626","SP46"
"NBNSYS0000005626","SP45"
"NBNSYS0000005626","SP44"
"NBNSYS0000005626","SP43"
"NBNSYS0000005626","SP42"
"NBNSYS0000005626","SP41"
"NBNSYS0000005626","SP40"
"NBNSYS0000005626","SP39"
"NBNSYS0000005626","SP38"
"NBNSYS0000005626","SP37"
"NBNSYS0000005626","SP36"
"NBNSYS0000005626","SP35"
"NBNSYS0000005626","SP34"
"NBNSYS0000005626","SP33"
"NBNSYS0000005626","SP32"
"NBNSYS0000005626","SP31"
"NBNSYS0000005626","SP30"
"NBNSYS0000005626","SP29"
"NBNSYS0000005626","SP28"
"NBNSYS0000005626","SP27"
"NBNSYS0000005626","SP26"
"NBNSYS0000005626","SP25"
"NBNSYS0000005626","SP24"
"NBNSYS0000005626","SP23"
"NBNSYS0000005626","SP22"
"NBNSYS0000005626","SP21"
"NBNSYS0000005626","SP20"
"NBNSYS0000005626","SP19"
"NBNSYS0000005626","SP18"
"NBNSYS0000005626","SP17"
"NBNSYS0000005626","SP16"
"NBNSYS0000005626","SP15"
"NBNSYS0000005626","SP14"
"NBNSYS0000005626","SP13"
"NBNSYS0000005626","SP12"
"NBNSYS0000005626","SP11"
"NBNSYS0000005626","SP10"
"NBNSYS0000005626","SP09"
"NBNSYS0000005626","SP08"
"NBNSYS0000005626","SP07"
"NBNSYS0000005626","SP06"
