organism_key,taxon,code
NBNORG0000072718,Nomada panzeri sensu lato,mature,3
NBNORG0000042645,Nomada roberjeotiana,mature,3
NBNORG0000072719,Nomada ruficornis,mature,3
NBNORG0000072720,Nomada rufipes,mature,2
NBNORG0000072721,Nomada sexfasciata,mature,4
NBNORG0000072722,Nomada sheppardana,mature,3
NBNORG0000072723,Nomada signata,mature,3
NBNORG0000072725,Nomada striata,mature,3
NBNORG0000072728,Nysson dimidiatus,mature,3
NBNORG0000072729,Nysson interruptus,mature,5
NBNORG0000072730,Nysson spinosus,mature,3
NBNORG0000072731,Nysson trimaculatus,mature,3
NBNORG0000072735,Odynerus melanocephalus,mature,3
NBNORG0000072738,Odynerus reniformis,mature,5
NBNORG0000072739,Odynerus simillimus,mature,3
NBNORG0000072736,Odynerus spinipes,mature,3
NBNORG0000072741,Omalus aeneus,mature,4
NBNORG0000072742,Omalus puncticollis,mature,4
NBNORG0000072749,Osmia aurulenta,mature,2
NBNORG0000072757,Osmia bicolor,mature,2
NBNORG0000072759,Osmia bicornis,mature,1
NBNORG0000072745,Osmia caerulescens,mature,3
NBNORG0000072751,Osmia inermis,mature,3
NBNORG0000072746,Osmia leaiana,mature,3
NBNORG0000072752,Osmia parietina,mature,3
NBNORG0000072753,Osmia pilicornis,mature,3
NBNORG0000072531,Osmia spinulosa,mature,3
NBNORG0000072754,Osmia uncinata,mature,3
NBNORG0000072755,Osmia xanthomelana,mature,3
NBNORG0000072761,Oxybelus argentatus,mature,3
NBNORG0000072762,Oxybelus mandibularis,mature,3
NBNORG0000072763,Oxybelus uniglumis,mature,3
NBNORG0000072765,Panurgus banksianus,mature,3
NBNORG0000072766,Panurgus calcaratus,mature,3
NBNORG0000072768,Paratrechina longicornis,mature,4
NBNORG0000072770,Passaloecus clypealis,mature,3
NBNORG0000072771,Passaloecus corniger,mature,3
NBNORG0000072772,Passaloecus eremita,mature,3
NBNORG0000072773,Passaloecus gracilis,mature,3
NBNORG0000072774,Passaloecus insignis,mature,3
NBNORG0000072775,Passaloecus monilicornis,mature,3
NBNORG0000072776,Passaloecus singularis,mature,3
NBNORG0000042798,Passaloecus turionum,mature,5
NBNORG0000072780,Pemphredon inornata,mature,3
NBNORG0000072781,Pemphredon lethifer,mature,3
NBNORG0000072786,Pemphredon lugubris,mature,3
NBNORG0000072784,Pemphredon morio,mature,3
NBNORG0000072782,Pemphredon rugifer,mature,3
NBNORG0000072791,Pheidole megacephala,mature,3
NBNORG0000072794,Philanthus triangulum,mature,1
NBNORG0000042846,Philoctetes truncatus,mature,5
NBNORG0000072798,Plastanoxus chittendenii,mature,4
NBNORG0000072799,Plastanoxus munroi,mature,4
NBNORG0000072800,Plastanoxus westwoodi,mature,4
NBNORG0000072802,Podalonia affinis,mature,3
NBNORG0000072803,Podalonia hirsuta,mature,3
NBNORG0000072806,Polistes dominula,mature,3
NBNORG0000011291,Pompilus cinereus,mature,3
NBNORG0000072810,Ponera coarctata,mature,4
NBNORG0000106728,Ponera testacea,mature,5
NBNORG0000072814,Priocnemis agilis,mature,4
NBNORG0000129282,Priocnemis confusor,mature,3
NBNORG0000072815,Priocnemis cordivalvata,mature,3
NBNORG0000072824,Priocnemis coriacea,mature,3
NBNORG0000072816,Priocnemis exaltata,mature,3
NBNORG0000072817,Priocnemis fennica,mature,3
NBNORG0000072818,Priocnemis hyalinata,mature,3
NBNORG0000072819,Priocnemis parvula,mature,3
NBNORG0000072825,Priocnemis perturbator,mature,3
NBNORG0000072820,Priocnemis propinqua,mature,3
NBNORG0000072821,Priocnemis pusilla,mature,4
NBNORG0000072822,Priocnemis schioedtei,mature,3
NBNORG0000072826,Priocnemis susterai,mature,3
NBNORG0000072828,Pristocera depressa,mature,4
NBNORG0000072832,Psen ater,mature,5
NBNORG0000072834,Psenulus concolor,mature,3
NBNORG0000011298,Psenulus pallipes,mature,3
NBNORG0000072835,Psenulus schencki,mature,4
NBNORG0000072837,Pseudepipona herrichii,mature,2
NBNORG0000072839,Pseudisobrachium subcyaneum,mature,4
NBNORG0000043060,Pseudomalus auratus,mature,3
NBNORG0000043061,Pseudomalus violaceus,mature,3
NBNORG0000043074,Pseudospinolia neglecta,mature,3
NBNORG0000072849,Rhopalum clavipes,mature,2
NBNORG0000072846,Rhopalum coarctatum,mature,3
