tvk,code,allow_org_key,rtvk,organism_key,taxon
NHMSYS0000875810,1,allow,NHMSYS0000875810,NBNORG0000072361,Crossocerus walkeri
NHMSYS0000875786,1,allow,NHMSYS0000875786,NBNORG0000072367,Crossocerus exiguus
NHMSYS0000875797,1,allow,NHMSYS0000875797,NBNORG0000072369,Crossocerus palmipes
NHMSYS0000875777,1,allow,NHMSYS0000875777,NBNORG0000072376,Crossocerus binotatus
NHMSYS0000875815,2,allow,NBNSYS0000009400,NBNORG0000072382,Cryptocheilus notatus
NHMSYS0000875825,1,allow,NHMSYS0000875825,NBNORG0000072387,Dinetus pictus
NHMSYS0000875828,1,allow,NHMSYS0000875828,NBNORG0000072389,Diodontus insidiosus
NHMSYS0000875831,1,allow,NHMSYS0000875831,NBNORG0000072392,Diodontus tristis
NBNSYS0000009395,1,allow,NBNSYS0000009395,NBNORG0000072395,Dipogon bifasciatus
NHMSYS0000875860,1,allow,NHMSYS0000875860,NBNORG0000072412,Dufourea halictula
NBNSYS0000009512,1,allow,NBNSYS0000009512,NBNORG0000072418,Ectemnius sexcinctus
NHMSYS0000875877,1,allow,NHMSYS0000875877,NBNORG0000072420,Ectemnius borealis
NHMSYS0000875930,1,allow,NHMSYS0000875930,NBNORG0000072448,Eucera longicornis
NHMSYS0000875931,1,,NHMSYS0000875931,NBNORG0000072449,Eucera nigrescens
NBNSYS0100003105,2,allow,NHMSYS0000875934,NBNORG0000072451,Eumenes coarctatus
NHMSYS0000875934,1,allow,NHMSYS0000875934,NBNORG0000072451,Eumenes coarctatus
NHMSYS0000875939,1,allow,NHMSYS0000875939,NBNORG0000072455,Euodynerus quadrifasciatus
NHMSYS0000875943,1,allow,NHMSYS0000875943,NBNORG0000072457,Evagetes dubius
NHMSYS0000875944,2,allow,NHMSYS0000875944,NBNORG0000072458,Evagetes pectinipes
NHMSYS0000875949,1,allow,NHMSYS0000875949,NBNORG0000072461,Formica aquilonia
NHMSYS0000875953,1,allow,NHMSYS0000875953,NBNORG0000072463,Formica exsecta
NHMSYS0000875960,1,,NHMSYS0000875960,NBNORG0000072467,Formica picea [Genus inferred]
NHMSYS0000875961,1,allow,NHMSYS0000875961,NBNORG0000072468,Formica pratensis
NHMSYS0000875964,1,,NHMSYS0000875964,NBNORG0000072470,Formica rufibarbis
NHMSYS0000875971,1,allow,NHMSYS0000875971,NBNORG0000072474,Formicoxenus nitidulus
NHMSYS0000876005,2,allow,NHMSYS0000876005,NBNORG0000072488,Gorytes laticinctus
NHMSYS0000876022,1,,NHMSYS0000876022,NBNORG0000072493,Halictus eurygnathus
NHMSYS0000876025,1,allow,NHMSYS0000876025,NBNORG0000072494,Halictus maculatus
NHMSYS0000876021,1,allow,NHMSYS0000876021,NBNORG0000072499,Halictus confusus
NHMSYS0000876032,1,allow,NHMSYS0000876032,NBNORG0000072501,Halictus subauratus
NHMSYS0000876041,1,allow,NHMSYS0000876041,NBNORG0000072509,Hedychridium coriaceum
NHMSYS0000876042,1,allow,NHMSYS0000876042,NBNORG0000072510,Hedychridium cupreum
NHMSYS0000876050,1,allow,NHMSYS0000876050,NBNORG0000072515,Hedychrum rutilans
NHMSYS0000876052,1,allow,NHMSYS0000876052,NBNORG0000072517,Heriades truncorum
NHMSYS0000876062,1,,NHMSYS0000876062,NBNORG0000072524,Homonotus sanguinolentus
NHMSYS0000876073,1,allow,NHMSYS0000876073,NBNORG0000072529,Hoplitis leucomelana
NHMSYS0000876113,1,allow,NHMSYS0000876113,NBNORG0000072538,Hylaeus punctulatissimus
NHMSYS0020977438,1,,NHMSYS0021231386,NBNORG0000072541,Hylaeus annularis
NHMSYS0000876111,1,allow,NHMSYS0000876111,NBNORG0000072543,Hylaeus pictipes
NHMSYS0020936570,1,allow,NHMSYS0020936570,NBNORG0000072547,Hylaeus incongruus
NHMSYS0000876110,1,allow,NHMSYS0000876110,NBNORG0000072548,Hylaeus pectoralis
NHMSYS0000876169,1,allow,NHMSYS0000876169,NBNORG0000072566,Lasioglossum angusticeps
NHMSYS0000876173,1,allow,NHMSYS0000876173,NBNORG0000072567,Lasioglossum brevicorne
NHMSYS0000876183,1,allow,NHMSYS0000876183,NBNORG0000072571,Lasioglossum laeve
NHMSYS0000876185,1,allow,NHMSYS0000876185,NBNORG0000072572,Lasioglossum laticeps
NHMSYS0000876195,1,allow,NHMSYS0000876195,NBNORG0000072577,Lasioglossum nitidiusculum
NHMSYS0000876199,1,allow,NHMSYS0000876199,NBNORG0000072579,Lasioglossum pauperatum
NHMSYS0000876208,1,allow,NHMSYS0000876208,NBNORG0000072584,Lasioglossum semilucens
NHMSYS0000876201,1,allow,NHMSYS0000876201,NBNORG0000072590,Lasioglossum prasinum
NHMSYS0000876205,1,allow,NHMSYS0000876205,NBNORG0000072591,Lasioglossum quadrinotatum
NHMSYS0000876210,1,allow,NHMSYS0000876210,NBNORG0000072592,Lasioglossum sexnotatum
NHMSYS0000876217,1,,NHMSYS0000876217,NBNORG0000072593,Lasioglossum xanthopus
NHMSYS0000876222,2,allow,NHMSYS0000876222,NBNORG0000072598,Lasius emarginatus
NHMSYS0000876239,1,allow,NHMSYS0000876239,NBNORG0000072610,Lestiphorus bicinctus
NHMSYS0000876243,1,allow,NHMSYS0000876243,NBNORG0000072614,Lindenius pygmaeus
NHMSYS0000876298,1,allow,NHMSYS0000876298,NBNORG0000072630,Megachile lapponica
NHMSYS0000876296,1,allow,NHMSYS0000876296,NBNORG0000072635,Megachile circumcincta
NHMSYS0000876307,1,allow,NHMSYS0000876307,NBNORG0000072639,Melecta luctuosa
NHMSYS0000876311,1,allow,NHMSYS0000876311,NBNORG0000072641,Melitta dimidiata
