tvk,start_day,start_month,end_day,end_month,stage,allow_org_key,rtvk,organism_key,taxon
NHMSYS0000875285,1,3,31,12,mature,allow,NHMSYS0000875285,NBNORG0000072077,Andrena trimmerana
NHMSYS0000875164,1,6,30,9,mature,allow,NHMSYS0000875164,NBNORG0000072079,Andrena argentata
NHMSYS0000875170,1,3,30,9,mature,allow,NHMSYS0000875170,NBNORG0000072080,Andrena barbilabris
NHMSYS0000875232,1,6,31,10,mature,allow,NHMSYS0000875232,NBNORG0000072082,Andrena marginata
NHMSYS0000875177,1,1,31,10,mature,allow,NHMSYS0000875177,NBNORG0000072084,Andrena cineraria
NHMSYS0000875243,1,3,30,9,mature,allow,NHMSYS0000875243,NBNORG0000072085,Andrena nigroaenea
NHMSYS0000875245,1,2,31,7,mature,allow,NHMSYS0001685273,NBNORG0000072088,Andrena nitida
NHMSYS0000875282,1,3,30,9,mature,allow,NHMSYS0000875282,NBNORG0000072089,Andrena thoracica
NHMSYS0000875286,1,4,30,4,mature,allow,NHMSYS0000875286,NBNORG0000072090,Andrena vaga
NHMSYS0000875157,1,3,30,9,mature,allow,NHMSYS0000875157,NBNORG0000072092,Andrena alfkenella
NHMSYS0000875199,1,4,31,8,mature,allow,NHMSYS0000875199,NBNORG0000072093,Andrena falsifica
NHMSYS0000875234,1,3,31,10,mature,allow,NHMSYS0000875234,NBNORG0000072095,Andrena minutula
NHMSYS0000875235,1,3,30,9,mature,allow,NHMSYS0000875235,NBNORG0000072096,Andrena minutuloides
NHMSYS0000875238,1,4,31,7,mature,allow,NHMSYS0000875238,NBNORG0000072097,Andrena nana
NHMSYS0000875247,1,5,31,7,mature,allow,NHMSYS0000875247,NBNORG0000072099,Andrena niveata
NHMSYS0000875115,1,3,31,7,mature,allow,NHMSYS0021232238,NBNORG0000072100,Andrena proxima sensu lato
NHMSYS0000875269,1,4,30,9,mature,allow,NHMSYS0000875269,NBNORG0000072101,Andrena semilaevis
NHMSYS0000875279,1,3,31,10,mature,allow,NHMSYS0000875279,NBNORG0000072102,Andrena subopaca
NHMSYS0000875176,1,2,31,12,mature,allow,NHMSYS0000875176,NBNORG0000072104,Andrena chrysosceles
NBNSYS0100001525,1,6,30,9,mature,allow,NBNSYS0100001525,NBNORG0000072105,Andrena nitidiuscula
NHMSYS0000875181,1,4,30,9,mature,allow,NHMSYS0000875181,NBNORG0000072107,Andrena coitana
NHMSYS0000875172,1,2,31,8,mature,allow,NHMSYS0000875172,NBNORG0000072109,Andrena bimaculata
NHMSYS0000875244,1,4,31,8,mature,allow,NHMSYS0000875244,NBNORG0000072110,Andrena nigrospina
NHMSYS0000875126,1,4,31,12,mature,,NHMSYS0000875254,NBNORG0000072111,Andrena pilipes
NHMSYS0000875283,1,3,31,7,mature,allow,NHMSYS0000875283,NBNORG0000072112,Andrena tibialis
NHMSYS0000875222,1,4,31,7,mature,allow,NHMSYS0000875222,NBNORG0000072114,Andrena labiata
NHMSYS0000875203,1,4,31,8,mature,allow,NHMSYS0000875203,NBNORG0000072116,Andrena florea
NHMSYS0000875256,1,7,31,7,mature,allow,NHMSYS0000875256,NBNORG0000072117,Andrena polita
NHMSYS0000875281,1,6,30,9,mature,allow,NHMSYS0000875281,NBNORG0000072118,Andrena tarsata
NHMSYS0000875161,1,3,31,8,mature,allow,NHMSYS0000875161,NBNORG0000072120,Andrena angustior
NBNSYS0000009676,1,4,30,9,mature,allow,NBNSYS0000009676,NBNORG0000072122,Andrena congruens
NHMSYS0000875195,1,3,30,11,mature,allow,NHMSYS0000875195,NBNORG0000072123,Andrena dorsata
NHMSYS0000875227,1,7,31,8,mature,allow,NHMSYS0000875227,NBNORG0000072124,Andrena lepida
NHMSYS0000875226,1,4,31,7,mature,,NHMSYS0000875226,NBNORG0000072126,Andrena lathyri
NHMSYS0000875249,1,3,31,12,mature,allow,NHMSYS0000875249,NBNORG0000072127,Andrena ovatula
NHMSYS0000875273,1,3,31,7,mature,allow,NHMSYS0000875273,NBNORG0000072128,Andrena similis
NHMSYS0000875290,1,3,31,12,mature,allow,NHMSYS0000875290,NBNORG0000072129,Andrena wilkella
NHMSYS0000875215,1,1,30,9,mature,allow,NHMSYS0000875215,NBNORG0000072131,Andrena haemorrhoa
NHMSYS0000875202,1,2,30,11,mature,allow,NHMSYS0000875202,NBNORG0000072133,Andrena flavipes
NHMSYS0000875213,1,3,30,6,mature,allow,NHMSYS0000875213,NBNORG0000072134,Andrena gravida
NHMSYS0000875294,1,4,30,9,mature,,NHMSYS0000875294,NBNORG0000072136,Anergates atratulus
NHMSYS0000875304,1,4,30,9,mature,allow,NHMSYS0000875304,NBNORG0000072139,Anoplius caviventris
NHMSYS0000875305,1,5,30,9,mature,allow,NHMSYS0000875305,NBNORG0000072140,Anoplius concinnus
NHMSYS0000875308,1,4,31,10,mature,allow,NHMSYS0000875308,NBNORG0000072141,Anoplius nigerrimus
NHMSYS0000875307,1,4,30,9,mature,allow,NHMSYS0000875307,NBNORG0000072143,Anoplius infuscatus
NHMSYS0000873209,1,2,30,11,mature,allow,NBNSYS0000009431,NBNORG0000072144,Anoplius viaticus
NHMSYS0000875314,1,5,31,7,mature,allow,NHMSYS0000875314,NBNORG0000072146,Anteon arcuatum
NHMSYS0000875317,1,4,30,6,mature,allow,NHMSYS0000875317,NBNORG0000072147,Anteon brachycerum
NHMSYS0000875331,1,6,30,9,mature,allow,NHMSYS0000875331,NBNORG0000072148,Anteon ephippiger
NHMSYS0000875333,1,5,31,7,mature,allow,NHMSYS0000875333,NBNORG0000072150,Anteon flavicorne
NHMSYS0000875338,1,5,30,9,mature,allow,NHMSYS0000875338,NBNORG0000072151,Anteon fulviventre
NHMSYS0000875341,1,6,31,8,mature,allow,NHMSYS0000875341,NBNORG0000072152,Anteon gaullei
NHMSYS0000875346,1,5,31,8,mature,allow,NHMSYS0000875346,NBNORG0000072153,Anteon infectum
NHMSYS0000875365,1,3,31,8,mature,allow,NHMSYS0000875365,NBNORG0000072154,Anteon pubicorne
NHMSYS0000875367,1,7,31,7,mature,allow,NHMSYS0000875367,NBNORG0000072155,Anteon reticulatum
NHMSYS0000875369,1,5,31,7,mature,allow,NHMSYS0000875369,NBNORG0000072156,Anteon scapulare
NHMSYS0000875378,1,5,31,8,mature,allow,NHMSYS0000875378,NBNORG0000072157,Anteon tripartitum
NHMSYS0000875389,1,3,30,9,mature,allow,NHMSYS0000875389,NBNORG0000072161,Anthidium manicatum
NHMSYS0000875407,1,1,31,8,mature,allow,NHMSYS0000875407,NBNORG0000072166,Anthophora plumipes
NHMSYS0000875403,1,4,31,10,mature,allow,NHMSYS0000875403,NBNORG0000072168,Anthophora furcata
NHMSYS0000875408,1,3,30,9,mature,allow,NHMSYS0000875408,NBNORG0000072170,Anthophora quadrimaculata
NHMSYS0000875402,1,5,30,9,mature,allow,NHMSYS0000875402,NBNORG0000072172,Anthophora bimaculata
NHMSYS0000875409,1,3,31,8,mature,allow,NHMSYS0000875409,NBNORG0000072174,Anthophora retusa
NHMSYS0000875415,1,5,30,9,mature,allow,NHMSYS0000875415,NBNORG0000072179,Aphelopus atratus
NHMSYS0000875419,1,4,30,9,mature,allow,NHMSYS0000875419,NBNORG0000072181,Aphelopus melaleucus
NHMSYS0000875420,1,5,30,6,mature,allow,NHMSYS0000875420,NBNORG0000072182,Aphelopus nigriceps
NHMSYS0000875421,1,5,31,8,mature,allow,NHMSYS0000875421,NBNORG0000072183,Aphelopus serratus
NHMSYS0000875423,1,1,30,11,mature,allow,NHMSYS0000875423,NBNORG0000072185,Apis mellifera
NBNSYS0000009416,1,4,31,10,mature,allow,NBNSYS0000009416,NBNORG0000072191,Arachnospila anceps
NBNSYS0000009417,1,6,31,8,mature,allow,NBNSYS0000009417,NBNORG0000072192,Arachnospila consobrina
NBNSYS0000009418,1,4,31,10,mature,allow,NBNSYS0000009418,NBNORG0000072193,Arachnospila trivialis
NBNSYS0000009419,1,5,30,9,mature,allow,NBNSYS0000009419,NBNORG0000072194,Arachnospila wesmaeli
NHMSYS0000875439,1,5,30,9,mature,allow,NHMSYS0000875439,NBNORG0000072196,Arachnospila minutula
NHMSYS0000875440,1,4,30,9,mature,allow,NHMSYS0000875440,NBNORG0000072197,Arachnospila spissa
NBNSYS0000009422,1,6,30,9,mature,allow,NBNSYS0000009422,NBNORG0000072199,Arachnospila rufa
NHMSYS0000875445,1,5,31,8,mature,allow,NHMSYS0000875445,NBNORG0000072201,Argogorytes fargeii
NHMSYS0000875446,1,4,31,10,mature,allow,NHMSYS0000875446,NBNORG0000072202,Argogorytes mystaceus
NHMSYS0000875449,1,5,31,10,mature,allow,NHMSYS0000875449,NBNORG0000072204,Astata boops
NHMSYS0000875457,1,4,31,12,mature,allow,NHMSYS0000875457,NBNORG0000072211,Bethylus boops
NHMSYS0000875459,1,6,30,9,mature,allow,NHMSYS0000875459,NBNORG0000072213,Bethylus dendrophilus
NHMSYS0000875461,1,2,31,10,mature,allow,NHMSYS0000875461,NBNORG0000072214,Bethylus fuscicornis
NBNSYS0100002027,1,3,30,11,mature,allow,NBNSYS0100002027,NBNORG0000072218,Bombus cryptarum
NHMSYS0000875473,1,3,30,9,mature,allow,NHMSYS0000875570,NBNORG0000072219,Bombus lucorum
NBNSYS0000009837,1,3,31,12,mature,allow,NBNSYS0000009837,NBNORG0000072220,Bombus magnus
NHMSYS0000875550,1,5,30,9,mature,allow,NHMSYS0000875550,NBNORG0000072225,Bombus cullumanus
NHMSYS0000875588,1,4,31,10,mature,allow,NHMSYS0000875588,NBNORG0000072227,Bombus soroeensis
NHMSYS0000875583,1,2,31,10,mature,,NHMSYS0000875583,NBNORG0000072232,Bombus ruderatus
NBNSYS0100002024,1,3,31,10,mature,allow,NBNSYS0100002024,NBNORG0000072238,Bombus barbutellus
NBNSYS0100002025,1,1,30,11,mature,allow,NBNSYS0100002025,NBNORG0000072239,Bombus bohemicus
NHMSYS0000875546,1,4,30,11,mature,allow,NHMSYS0000875546,NBNORG0000072240,Bombus campestris
NBNSYS0100002028,1,2,30,9,mature,allow,NBNSYS0100002028,NBNORG0000072243,Bombus rupestris
NHMSYS0000875594,1,2,30,11,mature,allow,NHMSYS0000875594,NBNORG0000072244,Bombus sylvestris
NBNSYS0100002030,1,1,30,11,mature,allow,NBNSYS0100002030,NBNORG0000072245,Bombus vestalis
NHMSYS0000875564,1,1,30,11,mature,allow,NHMSYS0000875564,NBNORG0000072247,Bombus hypnorum
NHMSYS0000875565,1,2,30,11,mature,allow,NHMSYS0000875565,NBNORG0000072248,Bombus jonellus
NHMSYS0000875571,1,2,30,11,mature,allow,NHMSYS0000875571,NBNORG0000072253,Bombus monticola
NHMSYS0000875554,1,1,31,10,mature,allow,NHMSYS0000875554,NBNORG0000072259,Bombus distinguendus
NHMSYS0000875592,1,3,30,11,mature,allow,NHMSYS0000875592,NBNORG0000072260,Bombus subterraneus
NHMSYS0000875607,1,5,30,9,mature,allow,NHMSYS0000875607,NBNORG0000072266,Cephalonomia formiciformis
NHMSYS0000875625,1,4,30,9,mature,allow,NHMSYS0000875625,NBNORG0000072275,Cerceris arenaria
NHMSYS0000875631,1,6,30,9,mature,allow,NHMSYS0000875631,NBNORG0000072276,Cerceris quadricincta
NHMSYS0000875632,1,6,30,9,mature,,NHMSYS0000875632,NBNORG0000072277,Cerceris quinquefasciata
NHMSYS0000875633,1,6,30,9,mature,allow,NHMSYS0000875633,NBNORG0000072278,Cerceris ruficornis
NHMSYS0000875634,1,4,31,10,mature,allow,NHMSYS0000875634,NBNORG0000072279,Cerceris rybyensis
NHMSYS0000875637,1,4,30,9,mature,allow,NHMSYS0000875637,NBNORG0000072282,Ceropales maculata
NHMSYS0000875638,1,6,30,9,mature,allow,NHMSYS0000875638,NBNORG0000072283,Ceropales variegata
