code,organism_key,taxon
2,NBNORG0000007233,Cephalanthera longifolia
2,NBNORG0000007234,Epipactis helleborine
2,NBNORG0000007236,Epipactis atrorubens
3,NBNORG0000007237,Epipogium aphyllum
2,NBNORG0000007238,Spiranthes romanzoffiana
2,NBNORG0000007239,Neottia nidus-avis
3,NBNORG0000007240,Hammarbya paludosa
2,NBNORG0000007241,Platanthera bifolia
3,NBNORG0000007242,Neotinea maculata
2,NBNORG0000007243,Ophrys fuciflora
2,NBNORG0000007244,Ophrys insectifera
3,NBNORG0000007245,Orchis militaris
3,NBNORG0000007246,Orchis simia
6,NBNORG0000007247,Neotinea ustulata
6,NBNORG0000007248,Anacamptis morio
6,NBNORG0000007249,Orchis laxiflora
2,NBNORG0000007250,Orchis mascula
2,NBNORG0000007251,Anacamptis pyramidalis
2,NBNORG0000007252,Acorus calamus
3,NBNORG0000007253,Calla palustris
1,NBNORG0000007254,Arum maculatum
2,NBNORG0000007255,Lemna trisulca
2,NBNORG0000007256,Lemna minor
2,NBNORG0000007257,Lemna gibba
2,NBNORG0000007258,Sparganium erectum
2,NBNORG0000007259,Sparganium emersum
3,NBNORG0000007260,Sparganium natans
2,NBNORG0000007261,Typha latifolia
2,NBNORG0000007262,Typha angustifolia
2,NBNORG0000007263,Eriophorum angustifolium
2,NBNORG0000007264,Eriophorum latifolium
2,NBNORG0000007265,Eriophorum vaginatum
4,NBNORG0000007266,Trichophorum alpinum
6,NBNORG0000007267,Trichophorum germanicum s.str.
2,NBNORG0000007268,Bolboschoenus maritimus
2,NBNORG0000007269,Scirpus sylvaticus
3,NBNORG0000007270,Schoenoplectus triqueter
4,NBNORG0000007271,Schoenoplectus pungens
2,NBNORG0000007272,Schoenoplectus lacustris
3,NBNORG0000007273,Eleocharis palustris subsp. vulgaris
2,NBNORG0000007274,Cyperus longus
3,NBNORG0000007275,Cyperus fuscus
2,NBNORG0000007276,Schoenus nigricans
3,NBNORG0000007277,Schoenus ferrugineus
2,NBNORG0000007278,Rhynchospora alba
2,NBNORG0000007279,Cladium mariscus
2,NBNORG0000007280,Carex distans
3,NBNORG0000007281,Carex punctata
2,NBNORG0000007282,Carex hostiana
3,NBNORG0000007283,Carex flava
2,NBNORG0000007284,Carex extensa
3,NBNORG0000007285,Carex capillaris
3,NBNORG0000007286,Carex depauperata
2,NBNORG0000007287,Carex pseudocyperus
2,NBNORG0000007288,Carex rostrata
2,NBNORG0000007289,Carex vesicaria
3,NBNORG0000007290,Carex saxatilis
2,NBNORG0000007291,Carex riparia
2,NBNORG0000007292,Carex acutiformis
2,NBNORG0000007293,Carex pallescens
3,NBNORG0000007294,Carex filiformis
2,NBNORG0000007295,Carex panicea
3,NBNORG0000007296,Carex vaginata
2,NBNORG0000007297,Carex limosa
3,NBNORG0000007298,Carex magellanica
2,NBNORG0000007299,Carex hirta
3,NBNORG0000007300,Carex lasiocarpa
2,NBNORG0000007301,Carex pilulifera
3,NBNORG0000007302,Carex ericetorum
3,NBNORG0000007303,Carex montana
3,NBNORG0000007304,Carex digitata
3,NBNORG0000007305,Carex ornithopoda
4,NBNORG0000007306,Carex buxbaumii
3,NBNORG0000007307,Carex atrata
3,NBNORG0000007308,Carex atrofusca
2,NBNORG0000007309,Carex elata
2,NBNORG0000007310,Carex acuta
2,NBNORG0000007311,Carex aquatilis
3,NBNORG0000007312,Carex recta
2,NBNORG0000007313,Carex nigra
4,NBNORG0000007314,Carex trinervis
6,NBNORG0000007315,Carex bicolor
2,NBNORG0000007316,Carex paniculata
3,NBNORG0000007317,Carex diandra
2,NBNORG0000007318,Carex otrubae
3,NBNORG0000007319,Carex vulpina
3,NBNORG0000007320,Carex maritima
3,NBNORG0000007322,Carex elongata
2,NBNORG0000007323,Carex echinata
2,NBNORG0000007324,Carex remota
6,NBNORG0000007325,Carex canescens
6,NBNORG0000007326,Carex leporina
4,NBNORG0000007327,Carex microglochin
6,NBNORG0000007328,Carex capitata
2,NBNORG0000007329,Carex pulicaris
3,NBNORG0000007330,Leersia oryzoides
2,NBNORG0000007331,Molinia caerulea
2,NBNORG0000007332,Danthonia decumbens
2,NBNORG0000007333,Glyceria notata
3,NBNORG0000007334,Festuca altissima
3,NBNORG0000007335,Festuca heterophylla
2,NBNORG0000007336,Festuca rubra subsp. commutata
3,NBNORG0000007337,Festuca arenaria
4,NBNORG0000007338,Festuca longifolia
1,NBNORG0000007339,Lolium perenne
2,NBNORG0000007340,Lolium multiflorum
3,NBNORG0000007341,Lolium temulentum
4,NBNORG0000007342,Lolium remotum
2,NBNORG0000007343,Vulpia bromoides
2,NBNORG0000007344,Puccinellia distans
3,NBNORG0000007345,Vulpia unilateralis
2,NBNORG0000007346,Poa annua
3,NBNORG0000007347,Poa infirma
3,NBNORG0000007348,Poa bulbosa
3,NBNORG0000007349,Poa alpina
2,NBNORG0000007350,Poa nemoralis
3,NBNORG0000007351,Poa glauca
2,NBNORG0000007352,Poa compressa
3,NBNORG0000007354,Poa angustifolia
3,NBNORG0000007355,Poa humilis
2,NBNORG0000007356,Poa trivialis
3,NBNORG0000007357,Poa palustris
2,NBNORG0000007358,Dactylis glomerata
2,NBNORG0000007359,Cynosurus cristatus
3,NBNORG0000007360,Cynosurus echinatus
2,NBNORG0000007361,Briza media
3,NBNORG0000007362,Briza minor
2,NBNORG0000007363,Briza maxima
2,NBNORG0000007364,Melica uniflora
2,NBNORG0000007365,Melica nutans
2,NBNORG0000007366,Sesleria caerulea
3,NBNORG0000007367,Bromopsis benekenii
2,NBNORG0000007368,Bromus hordeaceus subsp. hordeaceus
3,NBNORG0000007369,Bromus racemosus
3,NBNORG0000007370,Bromus arvensis
3,NBNORG0000007371,Bromus secalinus
3,NBNORG0000007372,Ceratochloa cathartica
2,NBNORG0000007373,Elymus caninus
2,NBNORG0000007374,Elytrigia juncea
2,NBNORG0000007375,Leymus arenarius
2,NBNORG0000007376,Hordeum murinum
4,NBNORG0000007377,Hordeum geniculatum
2,NBNORG0000007378,Hordeum vulgare
2,NBNORG0000007379,Hordeum jubatum
3,NBNORG0000007381,Koeleria vallesiana
2,NBNORG0000007382,Avena fatua
2,NBNORG0000007383,Avena sativa
6,NBNORG0000007384,Helictotrichon pratense
2,NBNORG0000007385,Holcus lanatus
2,NBNORG0000007386,Holcus mollis
2,NBNORG0000007387,Deschampsia flexuosa
2,NBNORG0000007388,Aira praecox
2,NBNORG0000007389,Aira caryophyllea
3,NBNORG0000007389,Aira caryophyllea
2,NBNORG0000007390,Ammophila arenaria
2,NBNORG0000007391,Calamagrostis epigejos
3,NBNORG0000007392,Calamagrostis stricta
4,NBNORG0000007393,Calamagrostis scotica
2,NBNORG0000007394,Agrostis capillaris
2,NBNORG0000007395,Agrostis gigantea
2,NBNORG0000007396,Agrostis stolonifera
4,NBNORG0000007397,Agrostis scabra
3,NBNORG0000007398,Polypogon viridis
3,NBNORG0000007399,Apera spica-venti
3,NBNORG0000007400,Apera interrupta
3,NBNORG0000007401,Mibora minima
3,NBNORG0000007402,Gastridium ventricosum
2,NBNORG0000007403,Lagurus ovatus
2,NBNORG0000007404,Phleum bertolonii
3,NBNORG0000007405,Phleum alpinum
2,NBNORG0000007406,Phleum arenarium
2,NBNORG0000007407,Alopecurus pratensis
2,NBNORG0000007408,Alopecurus geniculatus
2,NBNORG0000007409,Alopecurus aequalis
3,NBNORG0000007410,Alopecurus bulbosus
6,NBNORG0000007411,Alopecurus borealis
2,NBNORG0000007412,Milium effusum
2,NBNORG0000007413,Anthoxanthum odoratum
3,NBNORG0000007414,Anthoxanthum aristatum
2,NBNORG0000007415,Phalaris arundinacea
2,NBNORG0000007416,Phalaris canariensis
3,NBNORG0000007417,Phalaris minor
3,NBNORG0000007418,Phalaris paradoxa
2,NBNORG0000007419,Phalaris aquatica
2,NBNORG0000007420,Nardus stricta
3,NBNORG0000007421,Cynodon dactylon
3,NBNORG0000007422,Digitaria sanguinalis
2,NBNORG0000007423,Triticum aestivum
1,NBNORG0000007424,Caltha palustris
2,NBNORG0000007425,Trollius europaeus
2,NBNORG0000007426,Helleborus foetidus
2,NBNORG0000007427,Helleborus viridis
1,NBNORG0000007428,Eranthis hyemalis
3,NBNORG0000007429,Consolida ajacis
3,NBNORG0000007430,Actaea spicata
1,NBNORG0000007431,Anemone nemorosa
2,NBNORG0000007432,Anemone ranunculoides
2,NBNORG0000007433,Anemone apennina
1,NBNORG0000007434,Clematis vitalba
3,NBNORG0000007435,Clematis flammula
2,NBNORG0000007436,Clematis montana
4,NBNORG0000007437,Clematis viticella
2,NBNORG0000007438,Ranunculus acris
1,NBNORG0000007439,Ranunculus repens
2,NBNORG0000007440,Ranunculus bulbosus
2,NBNORG0000007441,Ranunculus arvensis
3,NBNORG0000007442,Ranunculus muricatus
2,NBNORG0000007443,Ranunculus sardous
2,NBNORG0000007444,Ranunculus parviflorus
2,NBNORG0000007445,Ranunculus auricomus
2,NBNORG0000007446,Ranunculus lingua
2,NBNORG0000007447,Ranunculus flammula
4,NBNORG0000007448,Ranunculus reptans
2,NBNORG0000007449,Ranunculus sceleratus
2,NBNORG0000007450,Ranunculus hederaceus
3,NBNORG0000007451,Ranunculus omiophyllus
3,NBNORG0000007452,Ranunculus tripartitus
3,NBNORG0000007453,Ranunculus fluitans
3,NBNORG0000007454,Ranunculus circinatus
2,NBNORG0000007455,Ranunculus trichophyllus
3,NBNORG0000007457,Ranunculus aquatilis
3,NBNORG0000007458,Ranunculus peltatus
2,NBNORG0000007459,Ranunculus penicillatus
6,NBNORG0000007460,Ficaria verna
6,NBNORG0000007460,Ranunculus ficaria
6,NBNORG0000007461,Ficaria verna var. bulbifer
3,NBNORG0000007462,Adonis annua
2,NBNORG0000007463,Myosurus minimus
2,NBNORG0000007464,Aquilegia vulgaris
3,NBNORG0000007465,Aquilegia pyrenaica
2,NBNORG0000007466,Thalictrum flavum
3,NBNORG0000007467,Thalictrum alpinum
2,NBNORG0000007468,Thalictrum minus
6,NBNORG0000007469,Epimedium alpinum
2,NBNORG0000007470,Berberis vulgaris
4,NBNORG0000007471,Berberis glaucocarpa
2,NBNORG0000007472,Mahonia aquifolium
1,NBNORG0000007473,Nymphaea alba
3,NBNORG0000007474,Nuphar pumila
2,NBNORG0000007475,Ceratophyllum demersum
3,NBNORG0000007476,Ceratophyllum submersum
1,NBNORG0000007477,Papaver rhoeas
6,NBNORG0000007478,Papaver dubium subsp. dubium
6,NBNORG0000007479,Papaver dubium subsp. lecoqii
2,NBNORG0000007480,Papaver hybridum
2,NBNORG0000007481,Papaver argemone
2,NBNORG0000007482,Papaver somniferum
2,NBNORG0000007484,Glaucium flavum
2,NBNORG0000007485,Chelidonium majus
2,NBNORG0000007486,Eschscholzia californica
3,NBNORG0000007487,Corydalis solida
2,NBNORG0000007488,Pseudofumaria lutea
3,NBNORG0000007489,Fumaria occidentalis
3,NBNORG0000007490,Fumaria capreolata
3,NBNORG0000007491,Fumaria purpurea
3,NBNORG0000007492,Fumaria bastardii
4,NBNORG0000007493,Fumaria muralis subsp. neglecta
3,NBNORG0000007494,Fumaria densiflora
2,NBNORG0000007495,Fumaria officinalis
3,NBNORG0000007496,Fumaria parviflora
2,NBNORG0000007498,Brassica oleracea
2,NBNORG0000007499,Brassica napus
2,NBNORG0000007500,Brassica rapa
2,NBNORG0000007501,Sinapis arvensis
2,NBNORG0000007502,Sinapis alba
2,NBNORG0000007503,Diplotaxis muralis
2,NBNORG0000007504,Diplotaxis tenuifolia
3,NBNORG0000007505,Diplotaxis erucoides
3,NBNORG0000007506,Eruca vesicaria
2,NBNORG0000007507,Raphanus raphanistrum
2,NBNORG0000007510,Raphanus sativus
2,NBNORG0000007511,Crambe maritima
3,NBNORG0000007512,Crambe cordifolia
4,NBNORG0000007513,Rapistrum perenne
2,NBNORG0000007514,Rapistrum rugosum
2,NBNORG0000007515,Cakile maritima
3,NBNORG0000007516,Conringia orientalis
2,NBNORG0000007517,Lepidium sativum
2,NBNORG0000007518,Lepidium heterophyllum
2,NBNORG0000007519,Lepidium ruderale
3,NBNORG0000007520,Lepidium virginicum
2,NBNORG0000007521,Lepidium latifolium
3,NBNORG0000007522,Lepidium graminifolium
2,NBNORG0000007523,Lepidium draba
4,NBNORG0000007524,Lepidium draba subsp. chalepense
2,NBNORG0000007525,Isatis tinctoria
2,NBNORG0000007526,Iberis amara
2,NBNORG0000007527,Thlaspi arvense
3,NBNORG0000007528,Thlaspi alliaceum
6,NBNORG0000007529,Thlaspi perfoliatum
2,NBNORG0000007531,Cochlearia pyrenaica
2,NBNORG0000007532,Cochlearia danica
2,NBNORG0000007533,Cochlearia anglica
2,NBNORG0000007534,Subularia aquatica
6,NBNORG0000007535,Bunias erucago
2,NBNORG0000007536,Bunias orientalis
3,NBNORG0000007537,Alyssum alyssoides
6,NBNORG0000007538,Alyssum saxatile
2,NBNORG0000007539,Lobularia maritima
2,NBNORG0000007540,Berteroa incana
2,NBNORG0000007541,Draba aizoides
3,NBNORG0000007542,Draba norvegica
2,NBNORG0000007543,Draba incana
2,NBNORG0000007544,Draba muralis
1,NBNORG0000007547,Cardamine pratensis
2,NBNORG0000007548,Cardamine amara
2,NBNORG0000007549,Cardamine impatiens
2,NBNORG0000007550,Cardamine flexuosa
2,NBNORG0000007551,Cardamine hirsuta
4,NBNORG0000007552,Cardamine trifolia
2,NBNORG0000007553,Cardamine bulbifera
2,NBNORG0000007554,Barbarea stricta
6,NBNORG0000007555,Arabidopsis petraea
6,NBNORG0000007556,Pseudoturritis turrita
3,NBNORG0000007557,Arabis alpina
2,NBNORG0000007558,Arabis hirsuta
3,NBNORG0000007559,Arabis scabra
6,NBNORG0000007560,Arabis glabra
6,NBNORG0000007561,Rorippa nasturtium-aquaticum
2,NBNORG0000007562,Rorippa sylvestris
2,NBNORG0000007563,Rorippa palustris
2,NBNORG0000007564,Rorippa amphibia
3,NBNORG0000007565,Rorippa austriaca
1,NBNORG0000007566,Hesperis matronalis
2,NBNORG0000007567,Erysimum cheiranthoides
2,NBNORG0000007568,Erysimum cheiri
1,NBNORG0000007569,Sisymbrium officinale
3,NBNORG0000007570,Sisymbrium irio
3,NBNORG0000007571,Sisymbrium loeselii
2,NBNORG0000007572,Sisymbrium orientale
3,NBNORG0000007573,Sisymbrium altissimum
4,NBNORG0000007574,Sisymbrium strictissimum
4,NBNORG0000007575,Sisymbrium polyceratium
2,NBNORG0000007576,Arabidopsis thaliana
2,NBNORG0000007577,Camelina sativa
4,NBNORG0000007578,Camelina microcarpa
2,NBNORG0000007579,Descurainia sophia
1,NBNORG0000007580,Aubrieta deltoidea
1,NBNORG0000007581,Lunaria annua
2,NBNORG0000007582,Reseda luteola
2,NBNORG0000007583,Reseda lutea
3,NBNORG0000007584,Reseda alba
3,NBNORG0000007585,Reseda phyteuma
2,NBNORG0000007586,Viola odorata
2,NBNORG0000007587,Viola hirta
2,NBNORG0000007589,Viola canina
2,NBNORG0000007590,Viola palustris
2,NBNORG0000007591,Viola cornuta
3,NBNORG0000007592,Viola tricolor
1,NBNORG0000007593,Viola arvensis
2,NBNORG0000007594,Polygala vulgaris
3,NBNORG0000007595,Polygala amarella
2,NBNORG0000007596,Hypericum androsaemum
3,NBNORG0000007597,Hypericum hircinum
2,NBNORG0000007598,Hypericum calycinum
2,NBNORG0000007599,Hypericum perforatum
2,NBNORG0000007600,Hypericum maculatum
2,NBNORG0000007601,Hypericum maculatum subsp. obtusiusculum
2,NBNORG0000007602,Hypericum humifusum
3,NBNORG0000007603,Hypericum linariifolium
2,NBNORG0000007604,Hypericum pulchrum
2,NBNORG0000007605,Hypericum hirsutum
2,NBNORG0000007606,Hypericum montanum
2,NBNORG0000007607,Hypericum elodes
3,NBNORG0000007608,Hypericum canadense
3,NBNORG0000007609,Tuberaria guttata
3,NBNORG0000007611,Helianthemum oelandicum
6,NBNORG0000007612,Cistus incanus
3,NBNORG0000007613,Tamarix gallica
2,NBNORG0000007614,Frankenia laevis
3,NBNORG0000007615,Elatine hexandra
3,NBNORG0000007616,Elatine hydropiper
2,NBNORG0000007617,Silene uniflora
3,NBNORG0000007618,Silene conica
6,NBNORG0000007619,Silene conoidea
6,NBNORG0000007620,Silene dichotoma
3,NBNORG0000007621,Silene gallica
2,NBNORG0000007622,Silene acaulis
3,NBNORG0000007623,Silene armeria
3,NBNORG0000007624,Silene otites
3,NBNORG0000007625,Silene nutans
3,NBNORG0000007626,Silene italica
2,NBNORG0000007627,Silene noctiflora
1,NBNORG0000007628,Silene dioica
6,NBNORG0000007629,Silene suecica
6,NBNORG0000007630,Silene viscaria
6,NBNORG0000007631,Silene flos-cuculi
3,NBNORG0000007632,Agrostemma githago
3,NBNORG0000007633,Dianthus armeria
2,NBNORG0000007634,Dianthus barbatus
6,NBNORG0000007635,Dianthus carthusianorum
2,NBNORG0000007636,Dianthus plumarius
3,NBNORG0000007637,Dianthus caryophyllus
3,NBNORG0000007638,Dianthus gallicus
2,NBNORG0000007639,Dianthus deltoides
2,NBNORG0000007640,Saponaria officinalis
3,NBNORG0000007641,Cerastium cerastoides
2,NBNORG0000007642,Cerastium arvense
2,NBNORG0000007643,Cerastium tomentosum
2,NBNORG0000007644,Cerastium alpinum
2,NBNORG0000007646,Cerastium fontanum
2,NBNORG0000007647,Cerastium glomeratum
3,NBNORG0000007648,Cerastium brachypetalum
2,NBNORG0000007649,Cerastium diffusum
3,NBNORG0000007650,Cerastium pumilum
2,NBNORG0000007651,Cerastium semidecandrum
2,NBNORG0000007652,Myosoton aquaticum
2,NBNORG0000007653,Stellaria nemorum
3,NBNORG0000007654,Stellaria nemorum subsp. montana
3,NBNORG0000007655,Stellaria neglecta
1,NBNORG0000007656,Stellaria holostea
1,NBNORG0000007657,Stellaria graminea
3,NBNORG0000007658,Holosteum umbellatum
2,NBNORG0000007659,Sagina procumbens
2,NBNORG0000007660,Sagina nodosa
2,NBNORG0000007661,Minuartia verna
3,NBNORG0000007662,Minuartia rubella
3,NBNORG0000007663,Minuartia stricta
2,NBNORG0000007664,Minuartia sedoides
2,NBNORG0000007665,Honckenya peploides
2,NBNORG0000007666,Moehringia trinervia
3,NBNORG0000007668,Arenaria ciliata
2,NBNORG0000007669,Arenaria balearica
3,NBNORG0000007670,Arenaria montana
2,NBNORG0000007671,Spergula arvensis
3,NBNORG0000007672,Spergula morisonii
2,NBNORG0000007673,Spergularia marina
3,NBNORG0000007674,Polycarpon tetraphyllum
2,NBNORG0000007675,Montia fontana
3,NBNORG0000007676,Montia fontana subsp. amporitana
3,NBNORG0000007677,Montia fontana subsp. variabilis
2,NBNORG0000007678,Claytonia perfoliata
2,NBNORG0000007679,Claytonia sibirica
6,NBNORG0000007680,Claytonia virginica
3,NBNORG0000007681,Portulaca oleracea
2,NBNORG0000007682,Amaranthus retroflexus
2,NBNORG0000007683,Amaranthus hybridus
3,NBNORG0000007684,Amaranthus albus
4,NBNORG0000007685,Amaranthus blitum
2,NBNORG0000007686,Chenopodium bonus-henricus
2,NBNORG0000007687,Chenopodium polyspermum
3,NBNORG0000007688,Chenopodium vulvaria
3,NBNORG0000007690,Chenopodium suecicum
4,NBNORG0000007691,Chenopodium berlandieri
3,NBNORG0000007692,Chenopodium murale
3,NBNORG0000007693,Oxybasis urbica
3,NBNORG0000007694,Chenopodium hybridum
2,NBNORG0000007695,Oxybasis rubra
2,NBNORG0000007696,Oxybasis chenopodioides
3,NBNORG0000007697,Oxybasis glauca
2,NBNORG0000007698,Beta vulgaris
2,NBNORG0000007699,Beta vulgaris subsp. maritima
2,NBNORG0000007700,Atriplex littoralis
2,NBNORG0000007701,Atriplex patula
2,NBNORG0000007702,Atriplex prostrata
2,NBNORG0000007703,Atriplex glabriuscula
2,NBNORG0000007704,Atriplex laciniata
2,NBNORG0000007705,Atriplex hortensis
2,NBNORG0000007706,Atriplex halimus
3,NBNORG0000007707,Atriplex longipes
2,NBNORG0000007708,Atriplex portulacoides
