"organism_key","taxon","stage","code"
"NBNORG0000057549","Athrips rancidella","mature",3
"NBNORG0000057550","Athrips tetrapunctella","mature",4
"NBNORG0000057590","Brachmia blandella","mature",2
"NBNORG0000057591","Brachmia inornatella","mature",3
"NBNORG0000057594","Bryotropha affinis","mature",2
"NBNORG0000057595","Bryotropha basaltinella","mature",5
"NBNORG0000057596","Bryotropha boreella","mature",4
"NBNORG0000057597","Bryotropha desertella","mature",4
"NBNORG0000057598","Bryotropha domestica","mature",2
"NBNORG0000057599","Bryotropha dryadella","mature",4
"NBNORG0000057601","Bryotropha galbanella","mature",4
"NBNORG0000057602","Bryotropha politella","mature",4
"NBNORG0000057603","Bryotropha senectella","mature",4
"NBNORG0000057604","Bryotropha similis","mature",4
"NBNORG0000057605","Bryotropha terrella","mature",3
"NBNORG0000057606","Bryotropha umbrosella","mature",3
"NBNORG0000057646","Caryocolum alsinella","mature",4
"NBNORG0000057647","Caryocolum blandella","mature",3
"NBNORG0000057648","Caryocolum blandulella","mature",5
"NBNORG0000057649","Caryocolum fraternella","mature",4
"NBNORG0000057650","Caryocolum huebneri","mature",5
"NBNORG0000057651","Caryocolum junctella","mature",5
"NBNORG0000057652","Caryocolum kroesmanniella","mature",5
"NBNORG0000057653","Caryocolum marmorea","mature",3
"NBNORG0000057654","Caryocolum proxima","mature",5
"NBNORG0000057655","Caryocolum tricolorella","mature",4
"NBNORG0000057656","Caryocolum vicinella","mature",3
"NBNORG0000057657","Caryocolum viscariella","mature",4
"NBNORG0000057702","Chionodes distinctella","mature",4
"NBNORG0000057703","Chionodes fumatella","mature",4
"NBNORG0000057715","Chrysoesthia drurella","mature",2
"NBNORG0000057716","Chrysoesthia sexguttella","mature",3
"NBNORG0000057928","Dichomeris derasella","mature",3
"NBNORG0000057929","Dichomeris juniperella","mature",3
"NBNORG0000057930","Dichomeris marginella","mature",1
"NBNORG0000057931","Dichomeris ustalella","mature",2
"NBNORG0000058171","Oxypteryx atrella","mature",4
"NBNORG0000058172","Oxypteryx immaculatella","mature",4
"NBNORG0000058173","Oxypteryx unicolorella","mature",4
"NBNORG0000058174","Oxypteryx wilkella","mature",2
"NBNORG0000058239","Exoteleia dodecella","mature",3
"NBNORG0000058244","Gelechia cuneatella","mature",5
"NBNORG0000058245","Gelechia hippophaella","mature",4
"NBNORG0000058246","Gelechia muscosella","mature",4
"NBNORG0000058247","Gelechia nigra","mature",4
"NBNORG0000058248","Gelechia rhombella","mature",3
"NBNORG0000058249","Gelechia scotinella","mature",4
"NBNORG0000058250","Gelechia senticetella","mature",4
"NBNORG0000058251","Gelechia sororculella","mature",3
"NBNORG0000058252","Gelechia turpella","mature",3
"NBNORG0000058269","Gnorimoschema streliciella","mature",5
"NBNORG0000058343","Hypatima rhomboidella","mature",1
"NBNORG0000058373","Isophrictis striatella","mature",2
"NBNORG0000058479","Mesophleps silacella","mature",3
"NBNORG0000058483","Metzneria aestivella","mature",4
"NBNORG0000058484","Metzneria aprilella","mature",4
"NBNORG0000058485","Metzneria lappella","mature",3
"NBNORG0000058486","Metzneria metzneriella","mature",3
"NBNORG0000058487","Metzneria neuropterella","mature",4
"NBNORG0000058496","Mirificarma lentiginosella","mature",4
"NBNORG0000058497","Mirificarma mulinella","mature",3
"NBNORG0000058511","Monochroa arundinetella","mature",5
"NBNORG0000058512","Monochroa conspersella","mature",5
"NBNORG0000058513","Monochroa divisella","mature",4
"NBNORG0000058514","Monochroa elongella","mature",5
"NBNORG0000058515","Monochroa hornigi","mature",5
"NBNORG0000058516","Monochroa lucidella","mature",4
"NBNORG0000058517","Monochroa lutulentella","mature",5
"NBNORG0000058518","Monochroa niphognatha","mature",5
"NBNORG0000058519","Monochroa palustrellus","mature",3
"NBNORG0000058520","Monochroa suffusella","mature",5
"NBNORG0000058521","Monochroa tenebrella","mature",4
"NBNORG0000058522","Monochroa tetragonella","mature",5
"NBNORG0000058568","Neofaculta ericetella","mature",2
"NBNORG0000058569","Neofriseria peliella","mature",5
"NBNORG0000058570","Neofriseria singula","mature",5
"NBNORG0000058585","Nothris congressariella","mature",3
"NBNORG0000058586","Nothris verbascella","mature",3
"NBNORG0000058684","Parachronistis albiceps","mature",3
"NBNORG0000058735","Pexicopia malvella","mature",4
"NBNORG0000058819","Platyedra subcinerea","mature",4
"NBNORG0000058855","Psamathocrita argentella","mature",5
"NBNORG0000058856","Psamathocrita osseella","mature",5
"NBNORG0000058866","Pseudotelphusa scalella","mature",2
"NBNORG0000058868","Psoricoptera gibbosella","mature",4
"NBNORG0000058881","Ptocheuusa paupella","mature",2
"NBNORG0000058903","Recurvaria leucatella","mature",1
"NBNORG0000058904","Recurvaria nanella","mature",4
"NBNORG0000058952","Scrobipalpa acuminatella","mature",3
"NBNORG0000058953","Scrobipalpa artemisiella","mature",3
"NBNORG0000058954","Scrobipalpa atriplicella","mature",4
"NBNORG0000058955","Scrobipalpa clintoni","mature",4
"NBNORG0000058956","Scrobipalpa costella","mature",2
"NBNORG0000058957","Scrobipalpa instabilella","mature",4
"NBNORG0000058958","Scrobipalpa murinella","mature",4
"NBNORG0000058959","Scrobipalpa nitentella","mature",4
"NBNORG0000058960","Scrobipalpa obsoletella","mature",4
"NBNORG0000058961","Scrobipalpa ocellatella","mature",4
"NBNORG0000058965","Scrobipalpa stangei","mature",4
"NBNORG0000058966","Scrobipalpa suaedella","mature",4
"NBNORG0000058967","Scrobipalpula diffluella","mature",5
"NBNORG0000058968","Scrobipalpula tussilaginis","mature",5
"NBNORG0000058998","Sitotroga cerealella","mature",4
"NBNORG0000059001","Sophronia semicostella","mature",3
"NBNORG0000059020","Stenolechia gemmella","mature",3
"NBNORG0000059099","Aproaerema albipalpella","mature",5
"NBNORG0000059100","Aproaerema cinctella","mature",5
"NBNORG0000059101","Aproaerema larseniella","mature",4
"NBNORG0000059102","Aproaerema polychromella","mature",2
"NBNORG0000059103","Aproaerema sangiella","mature",4
"NBNORG0000059104","Aproaerema suecicella","mature",5
"NBNORG0000059105","Aproaerema taeniolella","mature",3
"NBNORG0000059106","Aproaerema vinella","mature",5
"NBNORG0000059114","Teleiodes flavimaculella","mature",4
"NBNORG0000059115","Teleiodes luculella","mature",2
"NBNORG0000059116","Neotelphusa sequax","mature",3
"NBNORG0000059117","Teleiodes vulgella","mature",3
"NBNORG0000059118","Teleiodes wagae","mature",4
"NBNORG0000059119","Teleiopsis diffinis","mature",3
"NBNORG0000059202","Xenolechia aethiops","mature",4
"NBNORG0000059209","Xystophora pulveratella","mature",4
"NBNORG0000060090","Scrobipalpa samadensis","mature",4
"NBNORG0000086946","Aproaerema albifrontella","mature",5
"NBNORG0000108229","Tuta absoluta","mature",4
"NBNORG0000117187","Scrobipalpa salicorniae","mature",4
