"organism_key","taxon","error_location","taxon_group","allow_data_entry","one_name_allowed_per_org_key","removal"
"NBNORG0000052166","Rumex acetosa subsp. ambiguus","Botanical Society of Britain and Ireland/BSBI",11,0,TRUE,"NBNORG0000052166 | Rumex acetosa subsp. ambiguus"
"NBNORG0000056282","Rumex acetosa subsp. ambiguus","Botanical Society of Britain and Ireland/BSBI",11,0,TRUE,"NBNORG0000056282 | Rumex acetosa subsp. ambiguus"
"NBNORG0000052167","Rumex acetosa subsp. hibernicus","Botanical Society of Britain and Ireland/BSBI",12,0,TRUE,"NBNORG0000052167 | Rumex acetosa subsp. hibernicus"
"NBNORG0000056284","Rumex acetosa subsp. hibernicus","Botanical Society of Britain and Ireland/BSBI",12,0,TRUE,"NBNORG0000056284 | Rumex acetosa subsp. hibernicus"
"NBNORG0000052169","Arenaria serpyllifolia subsp. serpyllifolia","Botanical Society of Britain and Ireland/BSBI",13,0,TRUE,"NBNORG0000052169 | Arenaria serpyllifolia subsp. serpyllifolia"
"NBNORG0000053173","Arenaria serpyllifolia subsp. serpyllifolia","Botanical Society of Britain and Ireland/BSBI",13,0,TRUE,"NBNORG0000053173 | Arenaria serpyllifolia subsp. serpyllifolia"
"NBNORG0000053989","Dactylorhiza kerryensis","Botanical Society of Britain and Ireland/BSBI",14,0,TRUE,"NBNORG0000053989 | Dactylorhiza kerryensis"
"NBNORG0000053990","Dactylorhiza kerryensis","Botanical Society of Britain and Ireland/BSBI",14,0,TRUE,"NBNORG0000053990 | Dactylorhiza kerryensis"
"NBNORG0000055944","Ficaria verna subsp. verna","Botanical Society of Britain and Ireland/BSBI",17,0,TRUE,"NBNORG0000055944 | Ficaria verna subsp. verna"
"NBNORG0000017022","Bryum pallens","British Bryological Society/BBS",1,0,TRUE,"NBNORG0000017022 | Bryum pallens"
"NBNORG0000049792","Bryum pallens","British Bryological Society/BBS",1,0,TRUE,"NBNORG0000049792 | Bryum pallens"
"NBNORG0000050278","Herbertus borealis","British Bryological Society/BBS",2,0,TRUE,"NBNORG0000050278 | Herbertus borealis"
"NBNORG0000023606","Tricholepidozia tetradactyla","British Bryological Society/BBS",3,0,TRUE,"NBNORG0000023606 | Tricholepidozia tetradactyla"
"NBNORG0000023645","Jungermannia eucordifolia","British Bryological Society/BBS",4,0,TRUE,"NBNORG0000023645 | Jungermannia eucordifolia"
"NBNORG0000050333","Jungermannia eucordifolia","British Bryological Society/BBS",4,0,TRUE,"NBNORG0000050333 | Jungermannia eucordifolia"
"NBNORG0000023654","Marsupella boeckii s.l.","British Bryological Society/BBS",5,0,TRUE,"NBNORG0000023654 | Marsupella boeckii s.l."
"NBNORG0000023663","Lophocolea bidentata","British Bryological Society/BBS",6,0,TRUE,"NBNORG0000023663 | Lophocolea bidentata"
"NBNORG0000023664","Lophocolea bidentata","British Bryological Society/BBS",6,0,TRUE,"NBNORG0000023664 | Lophocolea bidentata"
"NBNORG0000050042","Lophocolea bidentata","British Bryological Society/BBS",6,0,TRUE,"NBNORG0000050042 | Lophocolea bidentata"
"NBNORG0000023666","Chiloscyphus polyanthos","British Bryological Society/BBS",7,0,TRUE,"NBNORG0000023666 | Chiloscyphus polyanthos"
"NBNORG0000025340","Chiloscyphus polyanthos","British Bryological Society/BBS",7,0,TRUE,"NBNORG0000025340 | Chiloscyphus polyanthos"
"NBNORG0000050022","Chiloscyphus polyanthos","British Bryological Society/BBS",7,0,TRUE,"NBNORG0000050022 | Chiloscyphus polyanthos"
"NBNORG0000023677","Porella arboris-vitae","British Bryological Society/BBS",8,0,TRUE,"NBNORG0000023677 | Porella arboris-vitae"
"NBNORG0000025336","Porella arboris-vitae","British Bryological Society/BBS",8,0,TRUE,"NBNORG0000025336 | Porella arboris-vitae"
"NBNORG0000025337","Porella arboris-vitae","British Bryological Society/BBS",8,0,TRUE,"NBNORG0000025337 | Porella arboris-vitae"
"NBNORG0000025338","Porella arboris-vitae","British Bryological Society/BBS",8,0,TRUE,"NBNORG0000025338 | Porella arboris-vitae"
"NBNORG0000023680","Lejeunea lamacerina","British Bryological Society/BBS",9,0,TRUE,"NBNORG0000023680 | Lejeunea lamacerina"
"NBNORG0000025333","Lejeunea lamacerina","British Bryological Society/BBS",9,0,TRUE,"NBNORG0000025333 | Lejeunea lamacerina"
"NBNORG0000025335","Lejeunea lamacerina","British Bryological Society/BBS",9,0,TRUE,"NBNORG0000025335 | Lejeunea lamacerina"
"NBNORG0000129835","Fossombronia caespitiformis s.str.","British Bryological Society/BBS",10,0,TRUE,"NBNORG0000129835 | Fossombronia caespitiformis s.str."
"NBNORG0000023689","Fossombronia pusilla","British Bryological Society/BBS",11,0,TRUE,"NBNORG0000023689 | Fossombronia pusilla"
"NBNORG0000023690","Fossombronia pusilla","British Bryological Society/BBS",11,0,TRUE,"NBNORG0000023690 | Fossombronia pusilla"
"NBNORG0000023718","Phaeoceros laevis","British Bryological Society/BBS",12,0,TRUE,"NBNORG0000023718 | Phaeoceros laevis"
"NBNORG0000023726","Sphagnum capillifolium s.l.","British Bryological Society/BBS",13,0,TRUE,"NBNORG0000023726 | Sphagnum capillifolium s.l."
"NBNORG0000023750","Polytrichum commune s.l.","British Bryological Society/BBS",14,0,TRUE,"NBNORG0000023750 | Polytrichum commune s.l."
"NBNORG0000023774","Ceratodon purpureus","British Bryological Society/BBS",15,0,TRUE,"NBNORG0000023774 | Ceratodon purpureus"
"NBNORG0000050817","Ceratodon purpureus","British Bryological Society/BBS",15,0,TRUE,"NBNORG0000050817 | Ceratodon purpureus"
"NBNORG0000023780","Dichodontium pellucidum s.str.","British Bryological Society/BBS",16,0,TRUE,"NBNORG0000023780 | Dichodontium pellucidum s.str."
"NBNORG0000025339","Dichodontium pellucidum s.str.","British Bryological Society/BBS",16,0,TRUE,"NBNORG0000025339 | Dichodontium pellucidum s.str."
"NBNORG0000023794","Dicranum fuscescens","British Bryological Society/BBS",17,0,TRUE,"NBNORG0000023794 | Dicranum fuscescens"
"NBNORG0000050821","Dicranum fuscescens","British Bryological Society/BBS",17,0,TRUE,"NBNORG0000050821 | Dicranum fuscescens"
"NBNORG0000023801","Campylopus pyriformis","British Bryological Society/BBS",18,0,TRUE,"NBNORG0000023801 | Campylopus pyriformis"
"NBNORG0000049985","Campylopus pyriformis","British Bryological Society/BBS",18,0,TRUE,"NBNORG0000049985 | Campylopus pyriformis"
"NBNORG0000049986","Campylopus pyriformis","British Bryological Society/BBS",18,0,TRUE,"NBNORG0000049986 | Campylopus pyriformis"
"NBNORG0000023802","Campylopus atrovirens","British Bryological Society/BBS",19,0,TRUE,"NBNORG0000023802 | Campylopus atrovirens"
"NBNORG0000049980","Campylopus atrovirens","British Bryological Society/BBS",19,0,TRUE,"NBNORG0000049980 | Campylopus atrovirens"
"NBNORG0000049981","Campylopus atrovirens","British Bryological Society/BBS",19,0,TRUE,"NBNORG0000049981 | Campylopus atrovirens"
"NBNORG0000070766","Campylopus atrovirens","British Bryological Society/BBS",19,0,TRUE,"NBNORG0000070766 | Campylopus atrovirens"
"NBNORG0000023805","Fissidens viridulus s.l.","British Bryological Society/BBS",20,0,TRUE,"NBNORG0000023805 | Fissidens viridulus s.l."
"NBNORG0000129266","Fissidens incurvus","British Bryological Society/BBS",21,0,TRUE,"NBNORG0000129266 | Fissidens incurvus"
"NBNORG0000023809","Fissidens bryoides","British Bryological Society/BBS",22,0,TRUE,"NBNORG0000023809 | Fissidens bryoides"
"NBNORG0000116593","Fissidens bryoides","British Bryological Society/BBS",22,0,TRUE,"NBNORG0000116593 | Fissidens bryoides"
"NBNORG0000023815","Fissidens taxifolius","British Bryological Society/BBS",23,0,TRUE,"NBNORG0000023815 | Fissidens taxifolius"
"NBNORG0000050180","Fissidens taxifolius","British Bryological Society/BBS",23,0,TRUE,"NBNORG0000050180 | Fissidens taxifolius"
"NBNORG0000050181","Fissidens taxifolius","British Bryological Society/BBS",23,0,TRUE,"NBNORG0000050181 | Fissidens taxifolius"
"NBNORG0000023824","Tortula muralis","British Bryological Society/BBS",24,0,TRUE,"NBNORG0000023824 | Tortula muralis"
"NBNORG0000050777","Tortula muralis","British Bryological Society/BBS",24,0,TRUE,"NBNORG0000050777 | Tortula muralis"
"NBNORG0000050778","Tortula muralis","British Bryological Society/BBS",24,0,TRUE,"NBNORG0000050778 | Tortula muralis"
"NBNORG0000023826","Tortula subulata","British Bryological Society/BBS",25,0,TRUE,"NBNORG0000023826 | Tortula subulata"
"NBNORG0000023827","Tortula subulata","British Bryological Society/BBS",25,0,TRUE,"NBNORG0000023827 | Tortula subulata"
"NBNORG0000050779","Tortula subulata","British Bryological Society/BBS",25,0,TRUE,"NBNORG0000050779 | Tortula subulata"
"NBNORG0000050780","Tortula subulata","British Bryological Society/BBS",25,0,TRUE,"NBNORG0000050780 | Tortula subulata"
"NBNORG0000070767","Tortula subulata","British Bryological Society/BBS",25,0,TRUE,"NBNORG0000070767 | Tortula subulata"
"NBNORG0000099363","Tortula acaulon var. acaulon","British Bryological Society/BBS",26,0,TRUE,"NBNORG0000099363 | Tortula acaulon var. acaulon"
"NBNORG0000023838","Didymodon icmadophilus sensu J. Kučera","British Bryological Society/BBS",27,0,TRUE,"NBNORG0000023838 | Didymodon icmadophilus sensu J. Kučera"
"NBNORG0000026814","Didymodon icmadophilus sensu J. Kučera","British Bryological Society/BBS",27,0,TRUE,"NBNORG0000026814 | Didymodon icmadophilus sensu J. Kučera"
"NBNORG0000050113","Didymodon icmadophilus sensu J. Kučera","British Bryological Society/BBS",27,0,TRUE,"NBNORG0000050113 | Didymodon icmadophilus sensu J. Kučera"
"NBNORG0000129268","Didymodon icmadophilus sensu J. Kučera","British Bryological Society/BBS",27,0,TRUE,"NBNORG0000129268 | Didymodon icmadophilus sensu J. Kučera"
"NBNORG0000023851","Weissia longifolia","British Bryological Society/BBS",28,0,TRUE,"NBNORG0000023851 | Weissia longifolia"
"NBNORG0000050808","Weissia longifolia","British Bryological Society/BBS",28,0,TRUE,"NBNORG0000050808 | Weissia longifolia"
"NBNORG0000023856","Tortella flavovirens","British Bryological Society/BBS",29,0,TRUE,"NBNORG0000023856 | Tortella flavovirens"
"NBNORG0000050766","Tortella flavovirens","British Bryological Society/BBS",29,0,TRUE,"NBNORG0000050766 | Tortella flavovirens"
"NBNORG0000050767","Tortella flavovirens","British Bryological Society/BBS",29,0,TRUE,"NBNORG0000050767 | Tortella flavovirens"
"NBNORG0000050770","Tortella flavovirens","British Bryological Society/BBS",29,0,TRUE,"NBNORG0000050770 | Tortella flavovirens"
"NBNORG0000023872","Grimmia donniana","British Bryological Society/BBS",30,0,TRUE,"NBNORG0000023872 | Grimmia donniana"
"NBNORG0000050827","Grimmia donniana","British Bryological Society/BBS",30,0,TRUE,"NBNORG0000050827 | Grimmia donniana"
"NBNORG0000023875","Grimmia pulvinata","British Bryological Society/BBS",31,0,TRUE,"NBNORG0000023875 | Grimmia pulvinata"
"NBNORG0000023876","Grimmia pulvinata","British Bryological Society/BBS",31,0,TRUE,"NBNORG0000023876 | Grimmia pulvinata"
"NBNORG0000050240","Grimmia pulvinata","British Bryological Society/BBS",31,0,TRUE,"NBNORG0000050240 | Grimmia pulvinata"
"NBNORG0000023919","Bryum capillare","British Bryological Society/BBS",32,0,TRUE,"NBNORG0000023919 | Bryum capillare"
"NBNORG0000049925","Bryum capillare","British Bryological Society/BBS",32,0,TRUE,"NBNORG0000049925 | Bryum capillare"
"NBNORG0000049926","Bryum capillare","British Bryological Society/BBS",32,0,TRUE,"NBNORG0000049926 | Bryum capillare"
"NBNORG0000023921","Bryum elegans","British Bryological Society/BBS",33,0,TRUE,"NBNORG0000023921 | Bryum elegans"
"NBNORG0000023924","Bryum caespiticium","British Bryological Society/BBS",34,0,TRUE,"NBNORG0000023924 | Bryum caespiticium"
"NBNORG0000023925","Bryum caespiticium","British Bryological Society/BBS",34,0,TRUE,"NBNORG0000023925 | Bryum caespiticium"
"NBNORG0000050815","Bryum caespiticium","British Bryological Society/BBS",34,0,TRUE,"NBNORG0000050815 | Bryum caespiticium"
"NBNORG0000023928","Bryum dichotomum","British Bryological Society/BBS",35,0,TRUE,"NBNORG0000023928 | Bryum dichotomum"
"NBNORG0000049929","Bryum dichotomum","British Bryological Society/BBS",35,0,TRUE,"NBNORG0000049929 | Bryum dichotomum"
"NBNORG0000049931","Bryum dichotomum","British Bryological Society/BBS",35,0,TRUE,"NBNORG0000049931 | Bryum dichotomum"
"NBNORG0000050814","Bryum dichotomum","British Bryological Society/BBS",35,0,TRUE,"NBNORG0000050814 | Bryum dichotomum"
"NBNORG0000023966","Orthotrichum cupulatum","British Bryological Society/BBS",36,0,TRUE,"NBNORG0000023966 | Orthotrichum cupulatum"
"NBNORG0000050435","Orthotrichum cupulatum","British Bryological Society/BBS",36,0,TRUE,"NBNORG0000050435 | Orthotrichum cupulatum"
"NBNORG0000050436","Orthotrichum cupulatum","British Bryological Society/BBS",36,0,TRUE,"NBNORG0000050436 | Orthotrichum cupulatum"
"NBNORG0000023978","Fontinalis antipyretica subsp. antipyretica","British Bryological Society/BBS",37,0,TRUE,"NBNORG0000023978 | Fontinalis antipyretica subsp. antipyretica"
"NBNORG0000050185","Fontinalis antipyretica subsp. antipyretica","British Bryological Society/BBS",37,0,TRUE,"NBNORG0000050185 | Fontinalis antipyretica subsp. antipyretica"
"NBNORG0000050186","Fontinalis antipyretica subsp. antipyretica","British Bryological Society/BBS",37,0,TRUE,"NBNORG0000050186 | Fontinalis antipyretica subsp. antipyretica"
"NBNORG0000023980","Fontinalis squamosa","British Bryological Society/BBS",38,0,TRUE,"NBNORG0000023980 | Fontinalis squamosa"
"NBNORG0000023981","Fontinalis squamosa","British Bryological Society/BBS",38,0,TRUE,"NBNORG0000023981 | Fontinalis squamosa"
"NBNORG0000050187","Fontinalis squamosa","British Bryological Society/BBS",38,0,TRUE,"NBNORG0000050187 | Fontinalis squamosa"
"NBNORG0000050188","Fontinalis squamosa","British Bryological Society/BBS",38,0,TRUE,"NBNORG0000050188 | Fontinalis squamosa"
"NBNORG0000023982","Leucodon sciuroides","British Bryological Society/BBS",39,0,TRUE,"NBNORG0000023982 | Leucodon sciuroides"
"NBNORG0000050381","Leucodon sciuroides","British Bryological Society/BBS",39,0,TRUE,"NBNORG0000050381 | Leucodon sciuroides"
"NBNORG0000050382","Leucodon sciuroides","British Bryological Society/BBS",39,0,TRUE,"NBNORG0000050382 | Leucodon sciuroides"
"NBNORG0000023990","Myurella julacea","British Bryological Society/BBS",40,0,TRUE,"NBNORG0000023990 | Myurella julacea"
"NBNORG0000050406","Myurella julacea","British Bryological Society/BBS",40,0,TRUE,"NBNORG0000050406 | Myurella julacea"
"NBNORG0000050407","Myurella julacea","British Bryological Society/BBS",40,0,TRUE,"NBNORG0000050407 | Myurella julacea"
"NBNORG0000023996","Pterigynandrum filiforme","British Bryological Society/BBS",41,0,TRUE,"NBNORG0000023996 | Pterigynandrum filiforme"
"NBNORG0000023997","Pterigynandrum filiforme","British Bryological Society/BBS",41,0,TRUE,"NBNORG0000023997 | Pterigynandrum filiforme"
"NBNORG0000050599","Pterigynandrum filiforme","British Bryological Society/BBS",41,0,TRUE,"NBNORG0000050599 | Pterigynandrum filiforme"
"NBNORG0000024001","Cratoneuron filicinum","British Bryological Society/BBS",42,0,TRUE,"NBNORG0000024001 | Cratoneuron filicinum"
"NBNORG0000024002","Cratoneuron filicinum","British Bryological Society/BBS",42,0,TRUE,"NBNORG0000024002 | Cratoneuron filicinum"
"NBNORG0000050819","Cratoneuron filicinum","British Bryological Society/BBS",42,0,TRUE,"NBNORG0000050819 | Cratoneuron filicinum"
"NBNORG0000025341","Scorpidium revolvens","British Bryological Society/BBS",43,0,TRUE,"NBNORG0000025341 | Scorpidium revolvens"
"NBNORG0000024011","Hygrohypnum luridum","British Bryological Society/BBS",44,0,TRUE,"NBNORG0000024011 | Hygrohypnum luridum"
"NBNORG0000050300","Hygrohypnum luridum","British Bryological Society/BBS",44,0,TRUE,"NBNORG0000050300 | Hygrohypnum luridum"
"NBNORG0000050301","Hygrohypnum luridum","British Bryological Society/BBS",44,0,TRUE,"NBNORG0000050301 | Hygrohypnum luridum"
"NBNORG0000050451","Hygrohypnum luridum","British Bryological Society/BBS",44,0,TRUE,"NBNORG0000050451 | Hygrohypnum luridum"
"NBNORG0000024019","Isothecium myosuroides s.l.","British Bryological Society/BBS",45,0,TRUE,"NBNORG0000024019 | Isothecium myosuroides s.l."
"NBNORG0000024024","Eurhynchiastrum diversifolium","British Bryological Society/BBS",46,0,TRUE,"NBNORG0000024024 | Eurhynchiastrum diversifolium"
"NBNORG0000024025","Eurhynchiastrum diversifolium","British Bryological Society/BBS",46,0,TRUE,"NBNORG0000024025 | Eurhynchiastrum diversifolium"
"NBNORG0000024026","Eurhynchiastrum diversifolium","British Bryological Society/BBS",46,0,TRUE,"NBNORG0000024026 | Eurhynchiastrum diversifolium"
"NBNORG0000050168","Eurhynchiastrum diversifolium","British Bryological Society/BBS",46,0,TRUE,"NBNORG0000050168 | Eurhynchiastrum diversifolium"
"NBNORG0000050838","Rhynchostegiella tenella","British Bryological Society/BBS",48,0,TRUE,"NBNORG0000050838 | Rhynchostegiella tenella"
"NBNORG0000024031","Plagiothecium denticulatum var. denticulatum","British Bryological Society/BBS",49,0,TRUE,"NBNORG0000024031 | Plagiothecium denticulatum var. denticulatum"
"NBNORG0000050478","Plagiothecium denticulatum var. denticulatum","British Bryological Society/BBS",49,0,TRUE,"NBNORG0000050478 | Plagiothecium denticulatum var. denticulatum"
"NBNORG0000024035","Roaldia revoluta","British Bryological Society/BBS",50,0,TRUE,"NBNORG0000024035 | Roaldia revoluta"
"NBNORG0000099327","Roaldia revoluta","British Bryological Society/BBS",50,0,TRUE,"NBNORG0000099327 | Roaldia revoluta"
"NBNORG0000024044","Ctenidium molluscum","British Bryological Society/BBS",51,0,TRUE,"NBNORG0000024044 | Ctenidium molluscum"
"NBNORG0000024045","Ctenidium molluscum","British Bryological Society/BBS",51,0,TRUE,"NBNORG0000024045 | Ctenidium molluscum"
"NBNORG0000050079","Ctenidium molluscum","British Bryological Society/BBS",51,0,TRUE,"NBNORG0000050079 | Ctenidium molluscum"
"NBNORG0000050080","Ctenidium molluscum","British Bryological Society/BBS",51,0,TRUE,"NBNORG0000050080 | Ctenidium molluscum"
"NBNORG0000050081","Ctenidium molluscum","British Bryological Society/BBS",51,0,TRUE,"NBNORG0000050081 | Ctenidium molluscum"
"NBNORG0000085977","Ctenidium molluscum","British Bryological Society/BBS",51,0,TRUE,"NBNORG0000085977 | Ctenidium molluscum"
"NBNORG0000025329","Lophozia excisa","British Bryological Society/BBS",52,0,TRUE,"NBNORG0000025329 | Lophozia excisa"
"NBNORG0000025330","Lophozia excisa","British Bryological Society/BBS",52,0,TRUE,"NBNORG0000025330 | Lophozia excisa"
"NBNORG0000050048","Lophozia excisa","British Bryological Society/BBS",52,0,TRUE,"NBNORG0000050048 | Lophozia excisa"
"NBNORG0000025331","Porella cordaeana","British Bryological Society/BBS",53,0,TRUE,"NBNORG0000025331 | Porella cordaeana"
"NBNORG0000025332","Porella cordaeana","British Bryological Society/BBS",53,0,TRUE,"NBNORG0000025332 | Porella cordaeana"
"NBNORG0000025334","Porella cordaeana","British Bryological Society/BBS",53,0,TRUE,"NBNORG0000025334 | Porella cordaeana"
"NBNORG0000050520","Porella cordaeana","British Bryological Society/BBS",53,0,TRUE,"NBNORG0000050520 | Porella cordaeana"
"NBNORG0000025342","Cephalozia pleniceps","British Bryological Society/BBS",54,0,TRUE,"NBNORG0000025342 | Cephalozia pleniceps"
"NBNORG0000025343","Calypogeia neesiana","British Bryological Society/BBS",55,0,TRUE,"NBNORG0000025343 | Calypogeia neesiana"
"NBNORG0000026751","Bryum moravicum","British Bryological Society/BBS",56,0,TRUE,"NBNORG0000026751 | Bryum moravicum"
"NBNORG0000026753","Bryum moravicum","British Bryological Society/BBS",56,0,TRUE,"NBNORG0000026753 | Bryum moravicum"
"NBNORG0000026820","Didymodon rigidulus","British Bryological Society/BBS",57,0,TRUE,"NBNORG0000026820 | Didymodon rigidulus"
"NBNORG0000050114","Didymodon rigidulus","British Bryological Society/BBS",57,0,TRUE,"NBNORG0000050114 | Didymodon rigidulus"
"NBNORG0000026980","Palustriella commutata s.l.","British Bryological Society/BBS",59,0,TRUE,"NBNORG0000026980 | Palustriella commutata s.l."
"NBNORG0000071097","Palustriella commutata s.l.","British Bryological Society/BBS",59,0,TRUE,"NBNORG0000071097 | Palustriella commutata s.l."
